id,label,attr_0,attr_1,attr_2,attr_3,attr_4
84,R84,2939,149,18,67,17
85,R85,2696,306,7,201,16
86,R86,2737,357,22,67,11
87,R87,3189,354,20,0,0
88,R88,3073,55,19,67,16
89,R89,2958,49,19,30,10
90,R90,3246,47,16,201,38
91,R91,3296,293,20,351,109
92,R92,2841,73,9,30,-5
93,R93,2793,127,2,60,3
94,R94,3264,302,22,234,10
95,R95,2975,202,7,636,-45
96,R96,3285,202,17,170,53
97,R97,2775,92,7,108,18
98,R98,3189,11,4,95,3
99,R99,2389,316,32,350,142
100,R100,3099,51,9,0,0
101,R101,3127,150,4,42,0
102,R102,3363,185,15,285,6
103,R103,3121,82,5,60,5
104,R104,2083,308,14,268,75
105,R105,2962,76,16,480,152
106,R106,3194,14,26,120,10
107,R107,3086,274,3,720,1
108,R108,2637,45,1,30,-2
109,R109,2212,51,32,162,80
110,R110,3237,127,12,180,39
111,R111,2899,72,17,564,88
112,R112,3090,77,12,42,7
113,R113,3132,320,8,335,58
114,R114,3252,173,15,210,34
115,R115,2998,86,15,150,37
116,R116,2171,44,25,210,64
117,R117,3021,111,14,67,10
118,R118,2907,220,32,661,150
119,R119,2633,98,14,127,60
120,R120,2419,122,22,120,25
121,R121,3204,71,19,350,59
122,R122,3148,100,12,30,9
123,R123,2832,315,21,0,0
124,R124,2664,26,7,0,0
125,R125,3077,330,25,283,54
126,R126,3001,307,12,150,29
127,R127,3208,44,13,424,7
128,R128,2958,322,8,67,9
129,R129,3240,212,23,124,9
130,R130,2987,210,5,85,9
131,R131,3028,56,14,300,3
132,R132,2811,133,9,85,7
133,R133,2468,96,18,30,6
134,R134,2551,47,28,258,110
135,R135,2977,70,9,95,16
136,R136,3285,28,19,192,3
137,R137,3094,200,10,67,-5
138,R138,3345,98,10,313,19
139,R139,1998,121,29,277,99
140,R140,2608,126,12,180,37
141,R141,3141,290,15,630,100
142,R142,2795,110,10,150,-6
143,R143,3083,94,17,60,20
144,R144,3034,209,7,150,38
145,R145,3181,209,12,511,72
146,R146,3073,52,11,0,0
147,R147,3131,14,9,0,0
148,R148,2766,65,10,108,10
149,R149,2353,334,16,42,-8
150,R150,2996,348,18,175,43
151,R151,3166,271,17,391,65
152,R152,2957,259,9,162,37
153,R153,2181,59,31,134,39
154,R154,3288,166,28,277,104
155,R155,3005,50,8,242,29
156,R156,3231,327,13,42,8
157,R157,2991,184,7,216,36
158,R158,2944,125,14,192,27
159,R159,3250,26,18,216,52
160,R160,3029,79,23,228,-8
161,R161,3266,162,9,108,9
162,R162,3118,327,5,306,59
163,R163,2734,92,6,247,18
164,R164,3268,128,12,285,70
165,R165,2760,110,13,595,-45
166,R166,3263,70,12,67,10
167,R167,3070,358,8,551,66
168,R168,3208,70,10,60,3
169,R169,3003,358,23,690,134
170,R170,2815,270,7,108,20
171,R171,3571,1,14,330,77
172,R172,3012,40,7,180,27
173,R173,2795,339,14,212,45
174,R174,3202,99,22,313,42
175,R175,3111,319,21,108,34
176,R176,2861,31,21,201,37
177,R177,2938,98,10,30,-4
178,R178,2704,208,7,0,0
179,R179,2949,289,10,201,7
180,R180,2607,40,22,120,7
181,R181,3421,90,7,216,11
182,R182,3129,192,15,659,88
183,R183,3240,84,9,361,-39
184,R184,2732,270,2,85,34
185,R185,2727,31,11,30,1
186,R186,2939,45,5,339,11
187,R187,2324,287,28,295,-62
188,R188,2993,313,12,42,-1
189,R189,3381,342,11,558,42
190,R190,3027,137,12,0,0
191,R191,2731,78,29,240,95
192,R192,2955,22,9,408,128
193,R193,3079,310,16,313,-41
194,R194,2871,168,15,190,58
195,R195,2606,57,16,30,6
196,R196,2983,312,16,277,52
197,R197,3165,108,14,509,121
198,R198,3121,135,9,175,25
199,R199,2956,328,15,216,21
200,R200,2861,75,15,120,87
201,R201,2979,79,15,430,-47
202,R202,3122,172,15,300,70
203,R203,2945,45,11,268,58
204,R204,3142,131,5,371,31
205,R205,2949,167,13,470,32
206,R206,3044,3,9,42,7
207,R207,2974,213,8,90,20
208,R208,2715,337,14,150,53
209,R209,3091,295,18,738,325
210,R210,3125,99,22,127,26
211,R211,3191,7,8,30,3
212,R212,3237,74,10,511,97
213,R213,3252,19,14,509,101
214,R214,2701,342,12,153,41
215,R215,3073,161,11,366,39
216,R216,3422,294,19,612,212
217,R217,2754,224,18,30,-1
218,R218,2922,215,11,42,6
219,R219,3070,79,35,210,95
220,R220,2751,148,3,0,0
221,R221,3058,292,9,0,0
222,R222,2834,1,16,201,47
223,R223,2843,110,16,247,47
224,R224,2724,169,2,60,2
225,R225,2825,324,24,201,76
226,R226,2536,47,9,255,-6
227,R227,3110,108,6,210,-16
228,R228,2909,41,18,242,57
229,R229,3236,306,6,503,61
230,R230,3108,72,5,794,54
231,R231,2961,333,24,108,39
232,R232,3468,259,27,421,158
233,R233,2844,352,13,0,0
234,R234,3017,352,5,60,6
235,R235,2507,281,16,210,74
236,R236,3248,287,17,256,31
237,R237,3164,31,10,331,44
238,R238,3370,306,6,190,14
239,R239,2922,233,11,30,8
240,R240,2882,132,14,175,37
241,R241,2832,60,14,510,102
242,R242,3297,291,18,216,76
243,R243,3170,50,16,175,33
244,R244,2916,48,17,484,46
245,R245,2322,2,30,360,133
246,R246,3203,14,30,108,72
247,R247,2817,60,15,182,29
248,R248,3058,65,15,300,31
249,R249,2902,88,27,180,-27
250,R250,2907,133,9,255,34
251,R251,3283,102,15,127,49
252,R252,2630,260,12,67,13
253,R253,2916,128,23,60,-6
254,R254,2273,86,33,306,-16
255,R255,3011,356,12,42,3
256,R256,3332,24,18,366,93
257,R257,3029,81,15,124,20
258,R258,3080,51,15,85,3
259,R259,2642,355,11,134,29
260,R260,2820,84,7,0,0
261,R261,2836,38,18,180,60
262,R262,2831,256,25,277,183
263,R263,3179,23,10,551,97
264,R264,2397,58,12,0,0
265,R265,2935,349,7,90,14
266,R266,3002,267,14,630,368
267,R267,2936,36,21,365,141
268,R268,3004,281,8,469,173
269,R269,3259,237,16,60,-1
270,R270,2861,166,18,391,73
271,R271,3524,28,20,631,112
272,R272,3270,207,7,361,55
273,R273,3323,30,12,342,120
274,R274,3236,359,11,510,-15
275,R275,3265,359,10,579,66
276,R276,2600,223,10,0,0
277,R277,3067,37,14,216,33
278,R278,2729,135,5,402,59
279,R279,2819,158,8,674,44
280,R280,3001,308,12,484,85
281,R281,3116,167,13,240,37
282,R282,2820,44,14,390,56
283,R283,3148,75,29,60,32
284,R284,3140,342,4,180,33
285,R285,2800,70,18,30,-1
286,R286,3445,243,26,391,190
287,R287,3025,341,17,361,20
288,R288,3142,245,15,150,32
289,R289,3412,308,35,150,61
290,R290,2999,249,7,750,113
291,R291,3390,298,28,42,15
292,R292,3053,255,18,60,16
293,R293,3359,211,13,571,153
294,R294,3151,14,9,335,31
295,R295,3014,262,7,0,0
296,R296,2835,58,9,201,36
297,R297,2854,70,15,30,4
298,R298,3237,262,10,408,53
299,R299,3311,342,21,342,77
300,R300,2400,232,11,30,0
301,R301,3423,313,8,1022,173
302,R302,3124,84,7,30,-4
303,R303,3136,305,4,691,114
304,R304,3016,18,1,30,0
305,R305,2772,103,13,67,13
306,R306,3418,13,12,297,86
307,R307,2697,335,8,218,17
308,R308,3392,214,7,604,124
309,R309,2936,89,11,218,7
310,R310,2658,279,26,180,81
311,R311,3350,137,9,124,-13
312,R312,2944,43,34,216,68
313,R313,2733,50,16,532,133
314,R314,2747,17,14,134,27
315,R315,3378,0,5,127,4
316,R316,3315,101,10,480,33
317,R317,3239,355,19,175,58
318,R318,2899,238,20,60,24
319,R319,2392,151,26,234,91
320,R320,2948,122,9,391,101
321,R321,2776,117,7,192,27
322,R322,3145,177,18,540,108
323,R323,3300,102,7,0,0
324,R324,3108,262,5,379,51
325,R325,3057,54,8,190,49
326,R326,2809,44,15,150,23
327,R327,2192,28,33,180,11
328,R328,3217,322,3,661,33
329,R329,2605,205,19,30,5
330,R330,2071,337,34,180,49
331,R331,3787,351,12,984,341
332,R332,3176,246,8,212,28
333,R333,2778,112,9,162,35
334,R334,2950,36,8,124,-7
335,R335,2949,45,9,182,13
336,R336,2801,356,10,30,4
337,R337,2988,73,8,134,31
338,R338,3284,342,3,371,41
339,R339,2971,304,23,90,29
340,R340,2962,165,13,201,48
341,R341,2254,325,22,42,-11
342,R342,2698,320,15,210,63
343,R343,3174,259,11,277,71
344,R344,3011,316,15,180,34
345,R345,3309,33,10,390,-25
346,R346,3183,27,13,60,10
347,R347,3025,198,11,201,54
348,R348,2942,59,21,256,141
349,R349,2988,179,15,953,115
350,R350,3026,324,17,30,14
351,R351,2709,234,15,150,14
352,R352,3381,350,13,85,16
353,R353,3293,197,32,418,114
354,R354,1984,104,20,150,8
355,R355,2824,335,19,90,29
356,R356,2991,86,4,636,65
357,R357,3481,351,14,553,136
358,R358,3187,131,27,297,59
359,R359,2540,268,17,300,113
360,R360,2962,24,18,323,36
361,R361,2965,8,14,60,3
362,R362,3115,273,20,190,12
363,R363,3387,270,9,845,181
364,R364,2907,101,19,60,14
365,R365,2052,4,33,351,-11
366,R366,3151,63,20,350,34
367,R367,3036,201,6,361,52
368,R368,2925,336,22,90,38
369,R369,3118,322,32,270,122
370,R370,3060,275,13,649,56
371,R371,3306,181,14,134,27
372,R372,2942,45,12,90,23
373,R373,2752,26,10,600,32
374,R374,3253,193,22,212,47
375,R375,3142,320,11,90,18
376,R376,2185,285,23,270,183
377,R377,3024,152,12,216,6
378,R378,3046,2,11,268,21
379,R379,2418,307,24,95,32
380,R380,3126,301,1,591,50
381,R381,2926,57,11,218,13
382,R382,2930,67,8,335,2
383,R383,2863,310,19,228,27
384,R384,2651,128,17,60,-5
385,R385,2879,0,8,335,66
386,R386,3290,50,12,600,17
387,R387,2645,74,18,30,8
388,R388,3301,12,12,390,78
389,R389,3014,277,6,812,42
390,R390,3273,140,7,277,30
391,R391,3460,38,13,743,224
392,R392,2469,355,15,499,222
393,R393,3141,33,19,277,54
394,R394,2864,272,23,150,51
395,R395,2965,14,9,0,0
396,R396,3079,57,10,633,20
397,R397,2848,9,6,67,3
398,R398,3234,63,2,331,24
399,R399,3247,110,13,210,26
400,R400,3080,222,11,256,57
401,R401,3012,94,4,30,2
402,R402,2655,290,23,180,78
403,R403,3450,346,8,309,-2
404,R404,2983,124,20,759,317
405,R405,2970,7,24,630,101
406,R406,3399,331,17,618,174
407,R407,3279,189,13,902,65
408,R408,3314,39,10,577,128
409,R409,2675,93,15,400,-27
410,R410,3034,139,10,42,4
411,R411,2603,96,7,360,70
412,R412,3164,342,17,67,19
413,R413,2595,141,10,0,0
414,R414,3077,9,37,268,91
415,R415,3088,9,13,330,71
416,R416,3259,69,4,306,25
417,R417,3239,131,15,446,-5
418,R418,2908,70,13,335,44
419,R419,2916,141,18,60,5
420,R420,3138,8,3,751,57
421,R421,3202,153,5,765,-1
422,R422,2771,69,11,134,15
423,R423,3282,195,8,120,3
424,R424,2340,345,23,218,85
425,R425,3439,356,12,541,207
426,R426,2784,11,12,30,4
427,R427,2870,118,11,30,5
428,R428,3031,0,0,731,66
429,R429,2572,60,7,300,2
430,R430,2818,42,13,540,96
431,R431,3201,353,13,42,6
432,R432,2912,35,13,366,61
433,R433,3265,331,14,569,13
434,R434,3165,328,9,277,41
435,R435,2955,132,6,450,128
436,R436,2870,348,11,60,3
437,R437,3144,6,17,242,34
438,R438,2684,151,16,180,45
439,R439,3271,106,17,323,44
440,R440,2456,325,4,30,0
441,R441,3270,48,21,283,81
442,R442,3224,52,14,0,0
443,R443,3043,0,20,85,11
444,R444,2840,198,27,134,60
445,R445,2746,59,25,228,67
446,R446,2692,160,6,30,0
447,R447,2705,160,8,390,150
448,R448,3040,272,9,228,44
449,R449,3118,34,5,240,25
450,R450,2772,47,19,551,70
451,R451,2926,87,13,134,34
452,R452,2596,273,12,362,74
453,R453,2969,36,18,85,-4
454,R454,2898,305,9,283,32
455,R455,2758,67,12,240,101
456,R456,2826,283,34,636,320
457,R457,2689,15,19,210,85
458,R458,2572,135,4,30,-11
459,R459,2522,135,8,180,2
460,R460,3109,117,28,67,20
461,R461,3306,135,6,430,83
462,R462,3279,59,11,240,-10
463,R463,2730,18,17,470,73
464,R464,3259,318,13,618,118
465,R465,2834,130,7,382,43
466,R466,2714,108,31,60,25
467,R467,2711,126,4,0,0
468,R468,3245,86,13,162,19
469,R469,3334,39,9,150,11
470,R470,3272,210,15,362,39
471,R471,2676,56,11,277,39
472,R472,3203,283,5,342,17
473,R473,2917,175,15,309,68
474,R474,3039,294,11,85,17
475,R475,3203,115,15,390,65
476,R476,3117,252,18,300,51
477,R477,3221,81,10,175,7
478,R478,3037,44,18,900,-22
479,R479,2870,318,16,30,15
480,R480,3228,50,14,630,152
481,R481,3213,198,2,454,32
482,R482,2921,58,12,170,29
483,R483,3129,119,11,120,0
484,R484,2822,308,8,180,55
485,R485,2952,314,15,216,56
486,R486,3164,190,23,541,105
487,R487,3334,187,10,342,55
488,R488,3009,36,10,331,69
489,R489,3139,142,6,351,28
490,R490,3278,13,8,108,-3
491,R491,3133,70,7,60,-8
492,R492,2981,207,23,153,80
493,R493,3216,63,4,480,-4
494,R494,3203,22,13,67,5
495,R495,3241,9,11,201,15
496,R496,3200,78,13,175,20
497,R497,3162,134,17,90,6
498,R498,2721,29,7,371,22
499,R499,2997,35,9,240,55
500,R500,2967,34,14,67,11
501,R501,3188,156,13,175,28
502,R502,2710,75,11,390,93
503,R503,3340,203,14,459,134
504,R504,2334,255,29,511,93
505,R505,2975,345,14,255,-2
506,R506,3709,7,8,1101,263
507,R507,2766,47,17,0,0
508,R508,3151,11,11,67,4
509,R509,3221,204,17,60,19
510,R510,3151,178,12,285,46
511,R511,3254,90,9,408,49
512,R512,2944,228,18,201,62
513,R513,3068,52,36,256,141
514,R514,3109,41,15,0,0
515,R515,2924,318,17,175,51
516,R516,2889,131,19,698,113
517,R517,3036,183,18,212,42
518,R518,3200,325,10,474,43
519,R519,2344,136,25,134,57
520,R520,2689,56,17,247,58
521,R521,3021,2,21,212,49
522,R522,3096,207,6,488,55
523,R523,3014,93,4,134,54
524,R524,3135,91,13,180,-44
525,R525,2771,122,12,0,0
526,R526,2806,27,9,150,24
527,R527,2928,275,11,60,10
528,R528,2547,37,2,127,8
529,R529,2940,306,20,420,9
530,R530,2765,196,19,430,29
531,R531,3027,333,11,295,52
532,R532,3684,21,15,1187,275
533,R533,2865,113,12,150,40
534,R534,2964,333,7,150,16
535,R535,2996,92,7,162,20
536,R536,2700,105,19,162,67
537,R537,3335,319,14,95,9
538,R538,2528,117,8,598,50
539,R539,2770,23,12,618,4
540,R540,3067,117,18,95,4
541,R541,3002,248,22,630,368
542,R542,2946,3,9,134,8
543,R543,3162,108,15,323,100
544,R544,2755,350,9,395,12
545,R545,3076,217,19,384,52
546,R546,2816,93,8,0,0
547,R547,2702,42,12,90,4
548,R548,3404,301,15,134,28
549,R549,3288,228,7,150,9
550,R550,2850,356,12,60,13
551,R551,2997,83,6,242,31
552,R552,2748,30,13,330,9
553,R553,3018,17,16,60,12
554,R554,3055,318,19,67,24
555,R555,3165,120,8,553,52
556,R556,2888,113,6,277,57
557,R557,3176,102,15,67,14
558,R558,2288,135,21,255,62
559,R559,3100,25,11,30,3
560,R560,2420,329,18,330,76
561,R561,3664,49,17,1087,409
562,R562,1905,62,22,60,29
563,R563,3098,158,12,531,50
564,R564,3080,38,23,120,43
565,R565,2341,331,15,95,11
566,R566,3311,6,14,391,83
567,R567,3416,149,11,484,259
568,R568,2152,293,26,127,86
569,R569,3287,65,20,371,72
570,R570,2998,331,2,150,12
571,R571,2158,335,37,67,48
572,R572,2843,49,22,306,171
573,R573,2187,40,28,30,-3
574,R574,2935,45,4,342,7
575,R575,2709,174,7,256,7
576,R576,3762,348,14,1008,316
577,R577,2874,106,15,108,26
578,R578,2560,200,17,175,32
579,R579,3152,67,9,201,35
580,R580,3153,304,3,162,-7
581,R581,2768,81,6,297,2
582,R582,2749,44,19,516,62
583,R583,3242,167,15,268,54
584,R584,2996,15,7,150,7
585,R585,3403,197,16,218,35
586,R586,2754,337,27,85,35
587,R587,3054,43,11,150,3
588,R588,2818,158,19,604,88
589,R589,3191,311,15,182,43
590,R590,3048,122,9,256,21
591,R591,3042,56,17,0,0
592,R592,2864,281,16,153,36
593,R593,3058,161,11,212,21
594,R594,2916,88,16,150,26
595,R595,2814,31,14,309,84
596,R596,3331,195,17,313,30
597,R597,2972,350,13,42,4
598,R598,3041,173,11,350,76
599,R599,3232,133,11,300,41
600,R600,2801,4,13,741,67
601,R601,3050,188,7,300,24
602,R602,3057,48,21,433,141
603,R603,3122,334,28,127,48
604,R604,3289,99,14,67,29
605,R605,3239,48,13,85,0
606,R606,2886,122,28,95,32
607,R607,2830,250,5,30,5
608,R608,2991,220,11,616,85
609,R609,3189,45,3,162,31
610,R610,3256,17,9,190,31
611,R611,2876,50,19,153,57
612,R612,2908,283,11,60,14
613,R613,3386,337,18,469,94
614,R614,2563,59,15,362,-33
615,R615,3111,291,7,67,4
616,R616,2832,119,16,450,102
617,R617,3165,257,15,503,70
618,R618,2844,64,21,85,25
619,R619,3085,352,5,256,32
620,R620,3028,324,17,0,0
621,R621,3037,153,10,323,-62
622,R622,2541,53,16,201,9
623,R623,3260,247,13,495,125
624,R624,2778,321,16,182,67
625,R625,2711,266,6,0,0
626,R626,2655,75,21,60,15
627,R627,2768,329,1,0,0
628,R628,2362,283,31,182,82
629,R629,2709,32,6,90,13
630,R630,2665,358,11,95,31
631,R631,3402,58,12,543,-21
632,R632,2866,17,7,309,78
633,R633,1978,13,36,30,22
634,R634,3074,55,15,175,28
635,R635,3203,262,15,272,45
636,R636,3154,323,12,700,108
637,R637,2288,31,17,295,130
638,R638,2980,9,6,323,78
639,R639,3123,17,9,175,18
640,R640,3253,256,13,752,102
641,R641,2594,337,16,60,14
642,R642,2918,90,8,569,227
643,R643,2923,321,12,182,54
644,R644,2287,291,22,242,104
645,R645,3288,264,17,180,13
646,R646,2130,313,32,67,21
647,R647,2663,323,22,242,86
648,R648,3096,110,10,90,-2
649,R649,3036,110,7,150,43
650,R650,2625,52,8,0,0
651,R651,3061,317,15,371,87
652,R652,3023,24,8,531,43
653,R653,2959,54,10,162,-4
654,R654,3156,43,22,543,131
655,R655,2890,130,12,95,7
656,R656,2721,88,6,268,5
657,R657,2681,108,8,408,69
658,R658,2951,68,5,67,-2
659,R659,3298,149,15,433,17
660,R660,2727,180,14,295,136
661,R661,2524,30,13,420,150
662,R662,2856,81,26,150,34
663,R663,2011,64,35,335,162
664,R664,2963,258,12,313,67
665,R665,2802,126,4,175,16
666,R666,2732,278,11,67,-2
667,R667,3208,24,16,162,46
668,R668,2910,110,10,67,17
669,R669,3066,160,6,42,1
670,R670,3381,0,6,433,52
671,R671,2883,84,26,108,-12
672,R672,3144,165,5,702,-50
673,R673,2972,310,7,150,35
674,R674,2930,125,10,124,16
675,R675,2708,87,29,90,56
676,R676,2391,218,11,127,38
677,R677,2825,181,12,150,15
678,R678,2578,217,28,240,-149
679,R679,2968,180,5,256,23
680,R680,3055,110,15,301,44
681,R681,3097,54,9,210,28
682,R682,2822,122,3,295,26
683,R683,3194,68,14,309,60
684,R684,2451,345,18,408,222
685,R685,3220,55,14,0,0
686,R686,2967,111,11,120,22
687,R687,3270,47,24,190,63
688,R688,2973,291,27,180,46
689,R689,2810,154,13,162,19
690,R690,2856,27,11,42,3
691,R691,3365,204,6,134,20
692,R692,3182,73,11,480,69
693,R693,3224,329,15,170,35
694,R694,2135,66,33,162,86
695,R695,3101,38,17,418,117
696,R696,3065,239,3,30,0
697,R697,3223,105,15,201,21
698,R698,3146,74,14,430,71
699,R699,3114,58,14,277,43
700,R700,3018,0,3,658,171
701,R701,3026,231,14,240,47
702,R702,2137,97,27,335,196
703,R703,2701,20,17,95,14
704,R704,2810,225,20,30,-2
705,R705,3209,159,15,258,-4
706,R706,3247,141,3,42,0
707,R707,3105,300,12,190,62
708,R708,3010,275,18,124,13
709,R709,3082,6,19,488,-8
710,R710,2182,93,23,0,0
711,R711,2872,252,31,150,51
712,R712,3381,101,8,42,2
713,R713,2398,114,8,218,24
714,R714,3219,123,18,277,85
715,R715,2604,129,18,30,-3
716,R716,2454,156,9,90,11
717,R717,3258,197,6,120,25
718,R718,3339,109,16,633,116
719,R719,3100,326,2,0,0
720,R720,3138,194,15,571,101
721,R721,2893,342,20,674,56
722,R722,2799,258,33,684,419
723,R723,2831,15,3,212,30
724,R724,2840,153,23,162,75
725,R725,3284,113,10,391,60
726,R726,3081,311,10,525,41
727,R727,2711,62,5,0,0
728,R728,3381,349,15,600,151
729,R729,3168,356,24,85,23
730,R730,2671,350,25,309,-39
731,R731,3179,168,12,361,39
732,R732,3044,218,18,467,85
733,R733,2566,212,10,603,106
734,R734,2873,129,15,42,10
735,R735,3060,162,3,511,69
736,R736,2939,23,7,258,44
737,R737,2689,82,26,120,20
738,R738,2615,151,15,0,0
739,R739,3198,53,10,541,56
740,R740,3103,207,22,331,91
741,R741,2649,20,13,362,70
742,R742,2554,131,10,0,0
743,R743,3014,51,7,190,37
744,R744,2836,340,15,108,7
745,R745,2982,62,11,430,63
746,R746,2892,358,17,741,162
747,R747,3380,163,12,725,174
748,R748,3144,25,11,295,16
749,R749,2806,143,16,255,74
750,R750,3307,59,15,272,78
751,R751,3112,315,1,342,36
752,R752,2948,59,7,351,35
753,R753,2739,298,20,85,36
754,R754,3238,256,15,752,172
755,R755,3050,199,11,85,9
756,R756,2737,122,21,60,7
757,R757,2995,77,12,134,13
758,R758,2944,29,12,192,52
759,R759,3039,9,6,190,24
760,R760,3111,97,17,60,20
761,R761,3141,145,12,67,12
762,R762,3252,51,3,247,18
763,R763,3325,279,12,218,30
764,R764,3489,44,19,745,274
765,R765,3042,0,10,175,-15
766,R766,2854,71,27,120,44
767,R767,3106,110,14,0,0
768,R768,2943,352,7,201,20
769,R769,2812,55,11,150,48
770,R770,3205,13,13,690,112
771,R771,2962,114,10,124,26
772,R772,3059,37,22,30,10
773,R773,2568,348,17,30,10
774,R774,3073,336,5,150,23
775,R775,2951,223,23,408,135
776,R776,2547,322,30,108,48
777,R777,2638,285,15,60,13
778,R778,2893,214,27,351,16
779,R779,3069,82,2,30,0
780,R780,3030,190,4,212,46
781,R781,3026,357,19,153,46
782,R782,2766,169,8,30,2
783,R783,3122,294,8,162,4
784,R784,3122,256,14,170,8
785,R785,2819,315,20,60,25
786,R786,3224,60,21,175,-4
787,R787,2354,124,33,190,113
788,R788,3039,96,2,212,37
789,R789,3187,117,11,735,179
790,R790,2373,337,25,153,54
791,R791,3027,206,6,30,-1
792,R792,3097,318,7,162,5
793,R793,3083,39,31,295,67
794,R794,3410,232,11,716,142
795,R795,3109,261,9,150,35
796,R796,3029,21,11,420,84
797,R797,2976,14,19,162,24
798,R798,3021,94,10,446,171
799,R799,2876,354,4,60,33
800,R800,3030,308,8,335,-4
801,R801,3315,80,18,902,234
802,R802,3043,82,10,866,26
803,R803,2503,163,14,30,2
804,R804,3067,149,10,180,-15
805,R805,2956,129,23,395,129
806,R806,2955,351,16,60,16
807,R807,2870,307,10,60,13
808,R808,2901,21,10,108,14
809,R809,3181,95,20,42,8
810,R810,2078,314,29,95,41
811,R811,2728,219,28,283,136
812,R812,2445,226,21,60,9
813,R813,2984,73,21,295,-56
814,R814,3194,32,9,60,6
815,R815,2526,218,30,60,20
816,R816,3208,201,8,150,12
817,R817,3277,27,6,390,56
818,R818,3364,49,5,335,109
819,R819,2947,334,6,60,8
820,R820,3228,121,15,553,112
821,R821,2962,253,13,270,113
822,R822,2893,135,1,537,101
823,R823,3269,240,13,240,52
824,R824,2812,65,24,150,48
825,R825,2621,18,19,0,0
826,R826,3116,28,12,85,17
827,R827,3115,330,23,516,50
828,R828,3260,80,14,577,92
829,R829,2501,316,20,162,52
830,R830,2874,120,13,297,35
831,R831,2854,112,3,417,53
832,R832,2791,53,9,234,14
833,R833,3332,125,11,212,39
834,R834,3099,66,8,210,11
835,R835,3172,325,28,234,72
836,R836,3185,159,14,150,30
837,R837,3087,77,25,484,12
838,R838,2898,49,25,350,81
839,R839,3159,257,14,300,50
840,R840,3155,330,10,390,55
841,R841,3051,33,13,979,232
842,R842,3322,103,12,218,25
843,R843,3055,137,10,90,-4
844,R844,2949,238,14,390,53
845,R845,3025,270,11,0,0
846,R846,3040,351,17,150,39
847,R847,2454,29,2,295,84
848,R848,3133,181,18,1146,186
849,R849,3067,310,14,60,18
850,R850,2315,302,21,124,59
851,R851,3234,185,8,454,124
852,R852,3148,67,13,366,19
853,R853,2814,92,8,210,10
854,R854,3210,284,4,792,26
855,R855,2328,243,21,351,34
856,R856,2879,217,9,108,5
857,R857,3251,19,13,258,61
858,R858,3114,126,15,711,83
859,R859,2551,82,5,0,0
860,R860,3021,88,17,210,10
861,R861,3040,91,14,480,101
862,R862,2932,79,10,60,10
863,R863,2796,209,16,0,0
864,R864,3197,4,17,255,33
865,R865,2695,139,4,360,-1
866,R866,2867,53,2,0,0
