id,label,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9
156,R156,7351,1802,1267,4907,9471,1615,8078,123,6112,8975
157,R157,4747,3936,6762,4079,8790,8498,836,1897,7123,5736
158,R158,3322,2816,8746,2949,2596,6373,2031,2625,9168,3253
159,R159,8264,6616,8482,9953,9447,6497,4489,8547,9597,9463
160,R160,5065,1898,195,2768,3356,3324,2862,6248,7199,5250
161,R161,696,2575,2194,8543,3388,3250,2339,9921,1886,544
162,R162,4249,4280,6298,8264,9685,1588,397,8577,4017,2594
163,R163,858,8344,3063,3733,3812,9041,6875,7348,7035,1945
164,R164,1243,3943,5073,5581,6275,1101,629,5588,1146,9935
165,R165,5360,2176,5874,2776,8020,6429,9728,2641,9082,2210
166,R166,254,3491,8283,3560,9420,4501,2166,3216,2054,2073
167,R167,5397,9504,4383,5110,9099,9367,6839,169,391,8672
168,R168,1209,2596,814,4461,7105,420,4741,8590,4608,6160
169,R169,3088,2888,605,4695,5574,6649,1950,4542,3116,80
170,R170,1898,9093,7488,7014,1137,8082,2411,6701,7290,3369
171,R171,4175,4580,6485,4259,9128,9843,6632,8018,2031,8713
172,R172,8163,7082,1971,8606,6741,5137,9118,7639,2568,831
173,R173,827,6130,247,5117,258,1781,1016,5616,5670,8627
174,R174,4742,7052,3298,6528,2987,8251,9090,238,3160,9448
175,R175,7510,6383,6368,9920,8163,9983,3629,2156,7974,9387
176,R176,4477,1765,7963,582,1544,2074,6854,6863,3550,6073
177,R177,1551,986,155,4475,2974,909,8807,9627,7763,9929
178,R178,4970,2431,9517,243,153,7949,5716,3095,6919,5045
179,R179,2808,5060,2485,7306,8225,118,8480,8247,6804,6992
180,R180,7712,9007,1589,2763,1105,1265,6010,9908,9647,4575
181,R181,9079,6624,5917,8194,7180,8427,9232,4501,6812,4834
182,R182,8150,2091,4971,2726,3944,2510,2570,9448,6852,3341
183,R183,6642,5482,2362,6408,4210,6901,5648,8698,2749,1974
184,R184,2541,9076,1050,753,8057,6919,5411,7871,7762,1698
185,R185,1572,4,5580,9997,631,6545,1569,5893,2244,9010
186,R186,3434,4996,5864,5500,9540,8702,1501,31,5265,4147
187,R187,8440,846,2667,2403,6194,8943,711,9442,1031,9925
188,R188,6842,6210,9973,380,8224,7772,8490,5599,3527,5765
189,R189,2445,7910,9460,4153,7784,4743,6942,9959,1177,1893
190,R190,3025,1695,6331,1845,8679,6526,2615,1617,6164,7941
191,R191,1772,8023,2735,6428,8482,9176,2145,5890,1984,464
192,R192,1835,5538,7621,3393,9452,5475,2815,1678,980,9819
193,R193,850,7768,4520,1122,685,9068,8146,6370,5083,2731
194,R194,2808,4239,6170,716,4973,7395,1041,9645,6386,6181
195,R195,3778,2438,612,4770,6268,7651,3936,1517,2673,7626
196,R196,8988,8327,2179,2864,578,1799,8242,1319,8752,8390
197,R197,3179,5150,9382,9763,2723,20,9628,6415,6643,806
198,R198,5457,746,89,1804,7805,2899,8131,949,9325,5462
199,R199,1603,83,2012,4470,8234,6591,5179,8659,6650,545
200,R200,1905,436,3391,6867,9603,417,2356,7877,1663,3919
201,R201,2158,8404,6714,9325,5066,2202,1082,8221,7250,978
202,R202,598,7223,4215,7286,1939,5876,2410,7020,135,2761
203,R203,4946,2837,194,8623,1490,3974,6575,6941,2442,807
204,R204,9448,9943,8002,1762,376,4135,1043,3859,9052,1616
205,R205,5063,413,8770,385,6645,6285,7947,2509,6338,2181
206,R206,8,848,4258,5378,7804,5519,9702,6453,9430,7530
207,R207,5902,2423,4343,7085,1250,3412,3874,1067,7543,9327
208,R208,5310,1895,1593,5138,3500,8089,9429,2319,8166,1515
209,R209,4706,693,7096,6885,8271,3317,2246,673,3969,515
210,R210,1692,8681,3025,1466,3278,8537,3696,8905,2254,8478
211,R211,6502,1093,3350,584,9037,8542,3918,1465,182,2918
212,R212,8595,9274,9940,5218,5470,8027,8618,3366,1258,3761
213,R213,9570,7065,442,5941,2678,4740,7665,1579,6430,8921
214,R214,4535,957,6687,5991,3524,3766,1222,1440,6277,7309
215,R215,1054,7974,357,3526,8375,9892,2603,2064,2424,1334
216,R216,9613,905,2560,9768,2285,578,9901,2172,140,2903
217,R217,6804,7502,4711,6314,2303,3533,1265,7667,7250,6130
218,R218,5030,5527,1977,7785,1271,3591,2,1595,8552,6074
219,R219,4319,8732,7475,3519,4041,1392,3591,8365,5024,8495
220,R220,3709,1927,9963,228,3493,6609,3861,234,6261,4103
221,R221,1884,1268,8652,2826,7469,6688,999,516,9674,4035
222,R222,7624,9687,5091,7824,2615,3555,3419,6015,9663,8396
223,R223,8572,5202,7573,2305,6444,3148,8445,6574,4479,5198
224,R224,6278,6144,2886,1530,1341,7630,8679,7146,9664,2611
225,R225,9766,8090,8819,1618,4995,4003,482,7791,7878,4999
226,R226,4329,9494,6635,9633,1755,5320,8879,5743,383,4135
227,R227,9746,1849,1943,4707,9161,9555,3085,8168,660,4548
228,R228,5682,480,6134,1014,2209,1871,3167,7535,3668,8159
229,R229,6518,2661,961,6940,8067,6652,8380,7396,537,2810
230,R230,5165,7790,229,340,4806,7306,9839,8058,9821,7227
231,R231,840,3353,7277,9332,4581,925,5755,4745,9566,2483
232,R232,6017,1444,6182,5718,9636,5435,8041,6292,8381,7870
233,R233,1508,3339,7554,4014,9528,6169,5627,6384,3741,9091
234,R234,3336,8487,8963,4666,8724,6046,1977,3258,1908,4959
235,R235,6479,3600,5650,1040,369,4761,4049,4333,8263,225
236,R236,6320,1021,9267,6412,6780,8271,4461,4798,5537,3539
237,R237,390,743,7931,7724,6892,2892,4142,9406,2513,5130
238,R238,8685,2781,2782,542,3136,5373,6591,3313,5658,9132
239,R239,3937,8466,411,2650,8134,9797,1506,3197,8927,5005
240,R240,8144,5849,4164,2107,9017,2518,6218,1801,8632,6232
241,R241,9251,8023,8197,8066,3419,8671,8354,2321,1096,5738
242,R242,7949,4906,4712,9270,4781,8405,6566,8662,430,4063
243,R243,2008,351,6456,2736,9050,4793,1134,3731,6933,2660
244,R244,9678,7152,678,616,1873,6800,9241,3514,1391,3862
245,R245,360,785,7512,4747,1292,6311,7955,4300,9367,1111
246,R246,3009,4898,8375,4845,2706,8351,3872,4743,586,4542
247,R247,3971,4101,5198,17,6039,7166,5822,2833,4434,9357
248,R248,8364,2025,3145,8150,4160,7807,7206,7427,7254,7154
249,R249,7100,1131,3406,7169,4262,500,6740,8487,7768,9108
250,R250,9057,9536,7889,3117,6164,2503,9795,8191,873,254
251,R251,2112,8988,4964,698,3756,2067,240,8773,9066,8284
252,R252,4122,5421,2541,3451,2384,5446,1884,8440,7374,4452
253,R253,7806,4191,6653,2650,4618,2244,9599,2895,1601,3042
254,R254,8478,5508,9771,2571,5371,5177,3463,7250,9689,5047
255,R255,5847,714,6612,537,5499,1990,1302,180,1849,7941
256,R256,2633,4434,4536,9130,9393,1072,2629,369,3207,7853
257,R257,5547,6986,9119,818,639,1352,21,5230,7676,7729
258,R258,9836,8549,7668,2399,4348,9398,5491,1805,1223,9631
259,R259,9410,8333,8773,9296,2376,199,3164,2451,5910,9751
260,R260,8090,9574,9491,8926,2110,8818,8320,6321,6582,1899
261,R261,4822,3388,3407,5933,1507,2810,5172,6378,3891,4373
262,R262,4309,3589,2839,1198,9609,3790,1990,7141,8828,9437
263,R263,1077,2343,1030,7130,8553,9776,4848,4049,2136,14
264,R264,1000,7868,2520,9534,1104,8929,6661,8349,6717,1993
265,R265,294,1503,5376,8697,71,2567,5009,243,4534,6188
266,R266,8469,7369,8181,6926,7094,597,6545,717,332,437
267,R267,7422,346,9151,231,9093,9808,9328,7917,2261,2761
268,R268,663,6734,426,873,4417,4190,3153,3433,9618,3449
269,R269,1683,2665,1092,3566,8110,9947,7138,6127,1417,6382
270,R270,8750,2717,9967,9510,8894,9131,5791,8353,3011,8193
271,R271,4314,9212,5768,1972,8700,8576,9888,7529,9964,2283
272,R272,26,9366,8494,3761,2674,3821,3114,6683,6110,1477
273,R273,7919,3186,8841,578,5730,1758,683,28,5210,9281
274,R274,1805,1093,8415,2112,6021,569,6652,1391,4923,488
275,R275,7693,2034,6930,5821,6544,1677,5196,8523,1870,6052
276,R276,9247,9392,4838,2220,5560,9482,8396,1986,1737,4483
277,R277,7839,2257,412,7843,9693,2657,8037,7087,2568,9279
278,R278,6614,7494,3795,4801,3664,4026,7048,6878,7648,9417
279,R279,4379,1377,6553,2351,4408,7698,5764,8146,2142,4819
280,R280,4697,1287,6839,3501,2461,9489,945,8744,6800,7283
281,R281,4273,9934,1872,4646,2192,6201,9287,6849,4925,1937
282,R282,4436,4840,4791,5229,992,7133,2254,3898,7102,93
283,R283,4604,4747,2615,356,5872,3643,7341,8354,8126,4544
284,R284,1809,3018,2877,3249,238,7171,6105,6080,6166,1570
285,R285,9507,6844,7164,8695,8608,8669,110,6327,8376,1959
286,R286,4404,5713,1962,1414,2978,1497,7900,1518,6784,1825
287,R287,6835,5343,5699,7547,8688,4517,270,4778,7730,7304
288,R288,1307,7038,8806,9581,7565,8132,9392,6650,4013,3004
289,R289,581,7562,2540,248,2687,4728,6098,5781,4022,9351
290,R290,4671,4777,3153,3561,3789,9764,865,7150,3990,1499
291,R291,6861,6886,8355,4436,8329,7477,1456,9760,9858,5685
292,R292,7746,1616,7829,7078,5345,4427,7548,7268,9456,1001
293,R293,4415,1008,2473,3755,1824,5226,4970,6030,2537,6524
294,R294,7736,1953,4882,2989,2043,8959,6372,97,3238,4443
295,R295,9983,9330,3277,4378,1908,5416,2999,1090,4538,1987
296,R296,8855,3482,3511,2321,909,8338,1537,8012,8661,7227
297,R297,3046,1188,8419,4852,558,3397,4698,7367,5279,3571
298,R298,3412,6994,3964,1441,3178,4992,1960,6725,4335,7181
299,R299,3605,6196,2630,7056,4206,4651,7550,1490,4787,7876
300,R300,3849,9420,4409,4382,8243,8703,3455,6583,8147,3709
301,R301,5169,3472,479,1385,4932,5581,4067,7083,5962,2702
302,R302,9938,6571,7339,8431,335,8612,7233,3823,1786,9694
303,R303,1739,799,5503,9346,8323,4710,1661,2692,1710,5397
304,R304,9477,5331,1442,3430,5927,9772,2235,5042,8359,227
305,R305,297,6857,9248,9158,4586,4206,665,6244,1577,5651
306,R306,5069,1897,6521,7731,1219,1063,378,9092,6959,7537
307,R307,5753,3951,6915,3531,7947,7500,406,4823,1909,4582
308,R308,6547,4176,2016,7875,3017,8042,6258,8523,1943,7388
309,R309,1645,9946,9840,3665,571,3708,7516,3933,4431,2175
310,R310,2909,4721,9818,1063,920,4980,5443,1659,9326,8111
311,R311,834,6153,6928,4632,3181,3099,7781,3541,4161,6022
312,R312,5877,972,2230,6853,1,9924,4692,192,8764,2246
313,R313,1038,470,685,8557,2608,9541,7095,5443,4172,1936
314,R314,1144,8660,3187,9437,8057,3662,6955,223,4475,2933
315,R315,1168,8774,6465,4393,3781,6215,6767,1837,6365,488
316,R316,7476,41,8404,1930,1723,1003,3070,614,4186,7466
317,R317,2301,5810,784,5131,3679,9641,3034,9192,8077,955
318,R318,9934,4857,9033,130,7489,2147,8476,5408,291,232
319,R319,2863,6060,5317,7729,2176,873,7945,924,6866,9975
320,R320,4258,1542,7884,3211,2540,7669,9941,7805,3669,5682
321,R321,4043,4395,8085,4453,4280,5583,4655,6777,7711,9108
322,R322,3315,8925,7127,2940,9148,7547,6953,116,6770,7567
323,R323,3669,7156,6462,399,7200,9198,2384,2871,3916,9314
324,R324,6536,7800,8560,1381,2754,9548,9224,3311,9614,5278
325,R325,9109,8398,8493,7487,6291,8487,3042,8817,243,9260
326,R326,940,9079,8519,7550,1875,5582,9693,7054,1008,859
327,R327,8621,8701,9076,9543,2725,2464,4601,1612,9432,8657
328,R328,4089,5471,5456,2721,5126,1841,8877,8392,3317,4385
329,R329,4779,2865,1431,8171,3482,3732,4296,3033,353,2679
330,R330,7487,254,5646,5566,1007,6509,1951,5046,2915,2267
331,R331,9141,2173,6610,2201,1318,8483,9158,8981,6637,6388
332,R332,6337,8010,4731,2683,9392,6622,3251,6617,9803,6230
333,R333,4966,3292,5715,883,2715,3225,1601,6318,88,8709
334,R334,307,4403,6432,6152,744,9418,231,5397,3640,7440
335,R335,4523,7595,9377,4877,7202,6960,3313,968,6835,4209
336,R336,8398,9138,2992,5370,605,703,2602,4458,3411,4630
337,R337,9435,5003,4311,6824,2663,3149,6530,9149,2096,5569
338,R338,2248,2379,5970,7204,991,6468,6603,8440,348,6261
339,R339,9093,5142,3230,4892,8817,2061,4365,8772,195,4806
340,R340,1244,1638,3231,2982,5947,6875,6900,8572,4826,4010
341,R341,5280,1016,5236,5602,5089,9910,8024,7810,8454,7987
342,R342,9205,6451,2944,9601,2263,2021,7339,298,4621,9578
343,R343,1798,3562,4576,1298,382,6610,3328,6881,1259,6547
344,R344,733,8506,3110,1318,4992,5338,1765,3970,8060,1216
345,R345,4046,1766,3366,1471,1418,6519,4677,9624,669,4694
346,R346,7513,3015,2188,4059,8182,1593,8843,5270,243,5879
347,R347,6194,2715,5467,9447,9874,562,6534,667,8936,7990
348,R348,8259,6585,9079,2095,7177,5046,1172,8875,2761,5438
349,R349,4471,8668,5768,5859,38,6253,2148,2712,5858,9601
350,R350,4472,5841,1544,3049,984,2087,712,5593,2073,7249
351,R351,6188,8519,4049,3900,6390,9072,2940,715,2005,5619
352,R352,2614,6134,8294,3640,3194,6361,4859,1456,3280,7585
353,R353,3144,9149,3210,4053,4881,7800,128,5340,5399,1642
354,R354,4137,4247,4729,2750,7433,1178,1557,3235,5774,4392
355,R355,1416,5958,1678,7609,9938,6815,2134,4389,2761,8247
356,R356,7021,4314,3851,4248,3045,1409,3543,1511,5700,460
357,R357,56,5356,7431,2453,5159,3871,3489,1391,4645,1524
358,R358,5289,5077,9714,6002,2873,581,6070,5067,7868,9996
359,R359,9917,7841,8514,6798,612,4775,1784,6674,5529,171
360,R360,3824,100,5645,8429,9835,3679,4321,4576,3110,6804
361,R361,6625,1155,6282,888,8256,3866,4433,7593,6050,8766
362,R362,787,85,8604,2218,7497,9445,143,3185,8267,3920
363,R363,2641,3809,1311,1008,8813,352,5538,608,8869,1362
364,R364,9573,246,9380,4635,6793,4391,6039,7911,5567,6106
365,R365,6333,9115,3710,9860,7807,5337,425,2360,594,7424
366,R366,6522,3836,3390,6749,5405,130,4476,6414,8624,3581
367,R367,3615,8877,9358,7642,7032,6473,5950,89,8335,2004
368,R368,8452,1194,5766,9343,3792,36,2473,6771,185,308
369,R369,2862,5505,155,8489,264,6605,3474,8112,1836,7921
370,R370,5416,5380,3468,3037,3834,467,1189,5133,1467,3992
371,R371,5658,4504,634,9297,4111,8621,6461,737,8314,347
372,R372,1590,9596,5769,3722,583,7446,2800,7448,7782,9291
373,R373,5144,9191,3390,4190,3660,7295,4949,2530,3430,995
374,R374,3949,2550,336,4478,6586,3809,6754,3587,2368,1189
375,R375,9182,2379,4635,282,8956,616,9261,4212,489,1729
376,R376,9792,3550,7666,6216,8539,6272,8923,5717,797,6
377,R377,5738,5050,2244,6981,9194,9039,5308,3401,3513,9903
378,R378,8266,2082,6127,8356,7046,9025,5675,3120,5805,5736
379,R379,1438,9138,6943,5684,9553,8435,3907,2774,8513,3710
380,R380,3263,7870,2763,7295,6868,3532,5115,6085,7770,97
381,R381,8257,5613,8839,6380,1072,2439,5233,5344,9726,3027
382,R382,1613,7308,307,2841,6504,8134,840,8794,2251,1491
383,R383,9441,4618,9073,3232,2679,9375,3533,4967,6972,7709
384,R384,7517,3107,7260,2370,416,4477,8776,6094,7372,9814
385,R385,6524,157,2599,2260,8935,5410,5799,2250,3113,9840
386,R386,2364,5576,4316,9876,5983,9887,4922,753,1288,3681
387,R387,4877,2431,8636,6579,8774,1427,2061,7604,4701,7613
388,R388,4611,3614,7630,4223,2184,9077,466,9669,9035,9405
389,R389,3734,9567,9223,4747,1418,9774,8357,6095,4475,1068
390,R390,4886,7830,359,2014,2122,437,4635,2004,4499,4528
391,R391,171,4595,5594,1516,5006,5163,9924,2366,2577,5148
392,R392,6971,3460,8903,32,3148,8362,9388,3734,1421,2722
393,R393,2831,1975,7493,7288,5824,7020,6552,3758,5546,7353
394,R394,6590,858,4810,6348,9677,1795,6082,6343,1617,8366
395,R395,9685,5924,1306,8659,4763,1923,3282,704,9053,6759
396,R396,996,9373,3313,8217,4805,5233,8830,3748,835,3191
397,R397,2814,3766,8173,980,7771,4525,1572,222,8308,3757
398,R398,8924,4119,9513,4891,4991,6668,9308,7796,1131,4678
399,R399,7888,2269,3531,2576,1922,2829,1375,1291,7507,8796
400,R400,8714,8978,8055,275,5649,3582,519,5928,1633,1470
401,R401,7480,6202,5373,5475,128,1410,2869,1900,526,1190
402,R402,1306,12,2098,6769,9418,7020,9165,8661,6557,8215
403,R403,5164,3649,8868,6751,4860,5090,9433,3576,5326,6791
404,R404,7991,4598,7946,5822,8909,6645,1264,8001,9652,8825
405,R405,1665,9602,134,4552,2888,2214,3596,3336,5788,9104
406,R406,7608,229,640,7028,1400,7104,9563,5312,7572,9079
407,R407,6743,6228,2976,8779,4968,2841,1288,4365,9433,9210
408,R408,4672,2645,8965,4919,1801,8263,5473,1595,5101,888
