id,label,attr_0,attr_1
771,R771,3348,183
772,R772,3228,350
773,R773,3165,136
774,R774,3140,91
775,R775,3008,41
776,R776,2871,48
777,R777,3119,67
778,R778,2339,66
779,R779,2817,57
780,R780,3241,219
781,R781,2855,113
782,R782,2937,50
783,R783,3280,302
784,R784,2716,148
785,R785,3067,176
786,R786,3126,35
787,R787,2923,16
788,R788,3094,133
789,R789,2341,310
790,R790,2778,59
791,R791,3351,2
792,R792,3296,111
793,R793,2737,32
794,R794,3112,253
795,R795,3122,296
796,R796,2194,312
797,R797,3008,346
798,R798,3175,2
799,R799,2353,117
800,R800,2675,120
801,R801,3364,116
802,R802,3291,344
803,R803,2832,61
804,R804,3119,90
805,R805,2944,308
806,R806,2957,61
807,R807,2273,103
808,R808,2952,347
809,R809,3024,120
810,R810,2715,335
811,R811,2833,51
812,R812,3076,9
813,R813,3001,43
814,R814,2007,10
815,R815,3077,310
816,R816,2272,122
817,R817,2948,333
818,R818,3009,198
819,R819,3057,225
820,R820,2319,44
821,R821,3136,96
822,R822,3144,166
823,R823,2949,90
824,R824,2972,88
825,R825,2887,134
826,R826,3237,74
827,R827,3080,263
828,R828,3211,116
829,R829,3374,132
830,R830,2880,341
831,R831,3274,270
832,R832,2723,22
833,R833,2525,270
834,R834,2573,176
835,R835,3277,275
836,R836,3057,78
837,R837,2918,107
838,R838,3167,81
839,R839,3273,189
840,R840,2251,75
841,R841,2985,192
842,R842,2958,117
843,R843,2991,39
844,R844,2688,3
845,R845,2922,68
846,R846,2765,13
847,R847,3057,322
848,R848,2026,61
849,R849,3172,108
850,R850,3002,1
851,R851,2645,114
852,R852,2934,161
853,R853,2376,317
854,R854,3410,113
855,R855,2912,242
856,R856,2873,327
857,R857,3045,255
858,R858,2891,23
859,R859,2812,91
860,R860,2900,328
861,R861,3036,143
862,R862,3153,315
863,R863,2646,98
864,R864,2915,216
865,R865,2909,42
866,R866,2864,112
867,R867,2873,0
868,R868,2495,232
869,R869,2866,350
870,R870,2878,174
871,R871,3029,70
872,R872,2642,76
873,R873,3020,359
874,R874,2646,104
875,R875,3095,72
876,R876,3195,225
877,R877,3008,264
878,R878,2612,297
879,R879,3138,158
880,R880,3149,111
881,R881,3041,118
882,R882,2913,92
883,R883,3275,351
884,R884,2666,202
885,R885,2950,56
886,R886,2742,149
887,R887,3522,94
888,R888,2819,63
889,R889,2879,266
890,R890,2962,34
891,R891,2468,337
892,R892,3139,302
893,R893,3106,210
894,R894,2808,57
895,R895,3108,43
896,R896,3216,205
897,R897,2719,129
898,R898,2733,63
899,R899,3136,226
900,R900,3301,288
901,R901,3375,348
902,R902,2820,358
903,R903,2179,295
904,R904,3279,37
905,R905,3028,9
906,R906,2233,229
907,R907,3166,99
908,R908,2926,270
909,R909,3019,269
910,R910,3000,87
911,R911,3103,39
912,R912,2827,62
913,R913,3226,268
914,R914,2406,49
915,R915,2560,213
916,R916,2962,245
917,R917,3118,47
918,R918,3068,326
919,R919,3264,287
920,R920,3288,292
921,R921,2982,38
922,R922,2705,150
923,R923,2809,131
924,R924,2978,94
925,R925,3605,53
926,R926,2773,215
927,R927,2906,67
928,R928,3079,32
929,R929,3220,87
930,R930,3030,87
931,R931,3058,38
932,R932,3136,338
933,R933,3139,154
934,R934,2985,283
935,R935,3011,107
936,R936,2716,14
937,R937,3126,111
938,R938,3295,4
939,R939,2982,56
940,R940,2926,304
941,R941,3087,148
942,R942,2543,56
943,R943,3075,117
944,R944,3276,220
945,R945,3228,337
946,R946,3167,37
947,R947,2817,43
948,R948,2898,138
949,R949,2899,45
950,R950,3054,94
951,R951,3152,295
952,R952,3045,346
953,R953,3190,350
954,R954,2815,77
955,R955,3156,5
956,R956,2882,170
957,R957,3355,6
958,R958,3148,45
959,R959,2339,144
960,R960,3038,83
961,R961,3080,98
962,R962,3429,329
963,R963,2857,311
964,R964,3210,90
965,R965,3089,314
966,R966,2604,6
967,R967,2748,144
968,R968,3279,348
969,R969,1972,284
970,R970,3207,14
971,R971,2666,17
972,R972,3099,333
973,R973,2832,231
974,R974,2978,175
975,R975,3092,6
976,R976,3014,22
977,R977,2504,352
978,R978,3046,31
979,R979,3175,126
980,R980,3049,340
981,R981,3139,198
982,R982,2697,185
983,R983,3178,315
984,R984,2657,63
985,R985,3119,252
986,R986,2737,350
987,R987,3048,52
988,R988,3047,28
989,R989,2982,68
990,R990,3077,121
991,R991,2615,63
992,R992,2723,123
993,R993,2995,245
994,R994,3182,53
995,R995,2945,342
996,R996,2562,17
997,R997,2617,10
998,R998,2920,100
999,R999,3330,24
1000,R1000,3046,333
1001,R1001,3215,287
1002,R1002,3325,112
1003,R1003,3045,119
1004,R1004,3222,117
1005,R1005,2822,225
1006,R1006,3014,75
1007,R1007,3103,28
1008,R1008,3012,113
1009,R1009,2892,60
1010,R1010,2831,64
1011,R1011,3472,10
1012,R1012,2772,190
1013,R1013,3101,167
1014,R1014,3044,38
1015,R1015,3234,39
1016,R1016,2860,63
1017,R1017,3308,15
1018,R1018,2849,136
1019,R1019,2180,20
1020,R1020,2792,184
1021,R1021,3197,148
1022,R1022,2996,321
1023,R1023,2828,156
1024,R1024,3300,330
1025,R1025,3271,104
1026,R1026,2908,281
1027,R1027,3145,76
1028,R1028,2570,49
1029,R1029,3136,59
1030,R1030,3011,136
1031,R1031,3008,125
1032,R1032,2975,348
1033,R1033,2958,6
1034,R1034,2581,56
1035,R1035,2975,45
1036,R1036,2959,95
1037,R1037,2544,275
1038,R1038,3071,353
1039,R1039,3191,80
1040,R1040,3242,108
1041,R1041,2977,113
1042,R1042,2959,276
1043,R1043,2905,10
1044,R1044,2903,139
1045,R1045,2910,69
1046,R1046,2785,83
1047,R1047,3235,14
1048,R1048,2841,323
1049,R1049,3136,197
1050,R1050,2780,22
1051,R1051,2722,35
1052,R1052,2977,93
1053,R1053,2921,301
1054,R1054,2865,45
1055,R1055,3337,188
1056,R1056,3083,35
1057,R1057,2680,183
1058,R1058,2939,22
1059,R1059,2834,157
1060,R1060,3458,14
1061,R1061,3236,288
1062,R1062,3019,287
1063,R1063,3219,195
1064,R1064,3224,32
1065,R1065,3251,128
1066,R1066,2912,331
1067,R1067,3061,45
1068,R1068,2960,295
1069,R1069,3116,108
1070,R1070,3027,290
1071,R1071,2537,9
1072,R1072,3090,119
1073,R1073,3105,340
1074,R1074,2821,64
1075,R1075,2107,323
1076,R1076,2667,131
1077,R1077,3207,39
1078,R1078,2672,7
1079,R1079,3413,163
1080,R1080,2875,90
1081,R1081,2975,122
1082,R1082,3368,196
1083,R1083,2955,128
1084,R1084,2709,307
1085,R1085,3271,215
1086,R1086,3089,42
1087,R1087,2964,343
1088,R1088,2677,90
1089,R1089,2808,85
1090,R1090,3227,288
1091,R1091,2778,18
1092,R1092,2981,237
1093,R1093,3304,332
1094,R1094,3460,79
1095,R1095,2871,299
1096,R1096,3237,288
1097,R1097,2963,50
1098,R1098,3238,46
1099,R1099,2906,0
1100,R1100,3318,32
1101,R1101,2632,204
1102,R1102,2975,96
1103,R1103,3411,260
1104,R1104,3070,188
1105,R1105,2602,267
1106,R1106,2978,41
1107,R1107,3231,198
1108,R1108,3046,135
1109,R1109,3200,305
1110,R1110,2593,222
1111,R1111,3165,307
1112,R1112,2983,39
1113,R1113,2871,341
1114,R1114,2957,16
1115,R1115,3284,275
1116,R1116,3384,178
1117,R1117,3096,70
1118,R1118,3196,263
1119,R1119,3244,138
1120,R1120,3172,346
1121,R1121,2991,291
1122,R1122,2553,56
1123,R1123,3048,347
1124,R1124,3348,8
1125,R1125,3172,191
1126,R1126,2292,316
1127,R1127,2945,328
1128,R1128,2409,129
1129,R1129,3307,172
1130,R1130,3137,138
1131,R1131,2624,115
1132,R1132,2792,66
1133,R1133,3105,26
1134,R1134,3261,96
1135,R1135,2780,198
1136,R1136,2352,271
1137,R1137,2530,30
1138,R1138,3064,237
1139,R1139,2701,229
1140,R1140,2709,63
1141,R1141,2549,128
1142,R1142,2776,83
1143,R1143,2807,354
1144,R1144,2808,279
1145,R1145,2690,336
1146,R1146,3088,275
1147,R1147,3346,310
1148,R1148,2933,74
1149,R1149,3334,349
1150,R1150,2981,70
1151,R1151,2756,22
1152,R1152,3251,189
1153,R1153,2729,105
1154,R1154,3102,188
1155,R1155,2975,146
1156,R1156,3275,211
1157,R1157,3060,168
1158,R1158,2906,342
1159,R1159,3230,326
1160,R1160,3106,105
1161,R1161,3044,126
1162,R1162,3309,61
1163,R1163,2715,78
1164,R1164,2821,270
1165,R1165,3405,27
1166,R1166,2606,169
1167,R1167,3116,62
1168,R1168,2886,74
1169,R1169,3055,61
1170,R1170,2797,16
1171,R1171,2773,42
1172,R1172,3264,135
1173,R1173,3067,27
1174,R1174,2381,87
1175,R1175,3275,16
1176,R1176,3071,304
1177,R1177,3169,217
1178,R1178,2548,156
1179,R1179,2982,76
1180,R1180,2762,63
1181,R1181,3003,302
1182,R1182,2896,61
1183,R1183,3126,53
1184,R1184,2645,86
1185,R1185,3345,318
1186,R1186,3052,45
1187,R1187,2760,58
1188,R1188,3309,345
1189,R1189,2341,61
1190,R1190,2786,71
1191,R1191,2354,113
1192,R1192,3080,193
1193,R1193,3129,86
1194,R1194,2701,196
1195,R1195,3332,117
1196,R1196,3054,179
1197,R1197,3240,16
1198,R1198,2827,0
1199,R1199,2949,323
1200,R1200,3039,90
1201,R1201,2573,53
1202,R1202,2898,45
1203,R1203,2864,20
1204,R1204,3195,10
1205,R1205,2801,324
1206,R1206,2202,333
1207,R1207,2864,50
1208,R1208,3425,170
1209,R1209,3174,28
1210,R1210,3245,278
1211,R1211,3172,257
1212,R1212,3154,321
1213,R1213,3148,57
1214,R1214,2868,123
1215,R1215,3003,36
1216,R1216,2633,9
1217,R1217,2688,95
1218,R1218,3201,71
1219,R1219,3243,225
1220,R1220,3725,353
1221,R1221,3071,160
1222,R1222,2537,11
1223,R1223,2768,82
1224,R1224,3090,344
1225,R1225,2543,348
1226,R1226,3270,100
1227,R1227,3131,102
1228,R1228,3112,189
1229,R1229,2918,174
1230,R1230,3116,58
1231,R1231,3038,333
1232,R1232,3145,331
1233,R1233,2994,13
1234,R1234,3002,73
1235,R1235,3102,276
1236,R1236,2966,40
1237,R1237,2986,319
1238,R1238,2765,70
1239,R1239,3253,355
1240,R1240,3130,19
1241,R1241,3213,241
1242,R1242,3027,135
1243,R1243,2972,155
1244,R1244,3072,78
1245,R1245,3282,85
1246,R1246,3199,252
1247,R1247,3068,340
1248,R1248,2831,45
1249,R1249,3396,129
1250,R1250,3437,350
1251,R1251,3107,162
1252,R1252,3204,76
1253,R1253,3006,344
1254,R1254,3107,309
1255,R1255,3595,120
1256,R1256,3403,181
1257,R1257,3232,252
1258,R1258,3019,62
1259,R1259,3026,49
1260,R1260,2260,47
1261,R1261,2977,53
1262,R1262,3050,121
1263,R1263,2870,299
1264,R1264,3176,8
1265,R1265,3093,145
1266,R1266,3155,344
1267,R1267,2956,358
1268,R1268,2575,58
1269,R1269,2900,4
1270,R1270,2962,59
1271,R1271,3196,219
1272,R1272,2657,118
1273,R1273,3102,16
1274,R1274,2506,36
1275,R1275,3164,148
1276,R1276,3285,225
1277,R1277,2988,106
1278,R1278,3415,56
1279,R1279,3170,151
1280,R1280,3300,114
1281,R1281,3029,53
1282,R1282,2891,10
1283,R1283,3244,355
1284,R1284,2893,144
1285,R1285,3047,310
1286,R1286,2692,110
1287,R1287,2973,51
1288,R1288,3155,330
1289,R1289,2554,28
1290,R1290,2922,110
1291,R1291,3006,346
1292,R1292,2681,95
1293,R1293,3045,75
1294,R1294,3195,319
1295,R1295,3167,192
1296,R1296,3021,114
1297,R1297,3139,166
1298,R1298,2809,359
1299,R1299,2593,36
1300,R1300,3257,253
1301,R1301,2718,74
1302,R1302,3147,148
1303,R1303,3222,191
1304,R1304,2671,80
1305,R1305,3076,127
1306,R1306,3046,75
1307,R1307,3173,101
1308,R1308,3201,85
1309,R1309,2962,34
1310,R1310,2854,105
1311,R1311,3185,124
1312,R1312,2264,329
1313,R1313,3161,345
1314,R1314,3166,164
1315,R1315,2588,36
1316,R1316,3167,35
1317,R1317,3188,274
1318,R1318,2499,83
1319,R1319,3072,323
1320,R1320,2762,132
1321,R1321,2867,72
1322,R1322,3280,96
1323,R1323,2616,68
1324,R1324,2018,324
1325,R1325,2988,180
1326,R1326,2961,160
1327,R1327,2821,87
1328,R1328,3113,286
1329,R1329,3050,344
1330,R1330,3174,127
