id,label,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9
37,R37,9343.4,9343.4,9343.2,9343.4,9343.4,9343.6,9343.2,9343.4,9343.4,3283
38,R38,8261.4,8261.2,8261.2,8261.6,8693,8261.2,8261.6,8261.6,8261.6,8261.4
39,R39,9873.4,632,9873.4,9873.4,9873.6,9873.8,9873.8,9873.8,9873.6,9873.4
40,R40,9115.4,9115.2,9115.0,9115.4,9115.4,9115.0,9115.2,4424,9115.4,9115.0
41,R41,8379.8,8379.8,8102,8379.6,8379.8,8379.4,8379.4,8379.4,8379.8,8379.4
42,R42,9693.2,9693.0,1535,9693.0,9693.0,9693.2,9692.8,9692.8,9693.0,9693.0
43,R43,8684,8263.0,8263.4,8263.4,8263.0,8263.0,8263.2,8263.2,8263.4,8263.0
44,R44,9572.0,2141,9572.0,9571.6,9571.6,9572.0,9571.8,9571.8,9571.8,9571.8
45,R45,8418.8,8419.2,8418.8,8419.0,8418.8,8419.0,8419.2,8418.8,8418.8,7905
46,R46,8540.8,8541.2,8540.8,7295,8540.8,8540.8,8541.0,8540.8,8540.8,8540.8
47,R47,9946.2,9946.2,9946.4,269,9946.2,9946.0,9946.0,9946.4,9946.2,9946.2
48,R48,8977.0,8976.8,8977.2,8977.0,8977.2,5115,8977.2,8976.8,8976.8,8977.0
49,R49,8634.2,8634.0,8634.4,8634.4,6829,8634.4,8634.0,8634.4,8634.2,8634.0
50,R50,8918.0,8918.2,8918.0,8918.2,8918.4,8918.2,8918.0,8918.2,8918.2,5409
51,R51,9177.4,4114,9177.4,9177.2,9177.2,9177.4,9177.0,9177.0,9177.0,9177.4
52,R52,8387,8322.8,8322.6,8322.6,8322.4,8322.8,8322.8,8322.4,8322.6,8322.6
53,R53,1122,9775.8,9775.8,9775.4,9775.8,9775.4,9775.6,9775.4,9775.6,9775.6
54,R54,8337.8,8337.8,8338.0,8338.0,8310,8337.8,8338.0,8337.8,8338.2,8337.8
55,R55,8402.0,8402.2,8402.2,8402.4,8402.0,7989,8402.2,8402.4,8402.4,8402.2
56,R56,8346.6,8346.2,8346.2,8268,8346.6,8346.2,8346.6,8346.4,8346.2,8346.4
57,R57,9555.4,9555.0,2224,9555.2,9555.2,9555.0,9555.0,9555.4,9555.0,9555.0
58,R58,8810.2,8810.2,5949,8810.0,8810.0,8810.4,8810.0,8810.0,8810.4,8810.4
59,R59,8296.2,8295.8,8296.2,8520,8295.8,8296.0,8295.8,8296.2,8296.0,8296.0
60,R60,8371.8,8371.6,8371.6,8371.8,8371.8,8371.6,8371.6,8142,8371.6,8371.4
61,R61,8279.0,8279.4,8279.0,8279.2,8279.2,8279.4,8604,8279.4,8279.4,8279.0
62,R62,8890.0,8889.6,8890.0,8889.8,8889.8,8890.0,8889.8,8889.8,5551,8889.6
63,R63,9110.8,9110.8,4447,9110.4,9110.8,9110.4,9110.8,9110.4,9110.8,9110.4
64,R64,8016.6,8016.2,8016.6,8016.4,8016.4,9918,8016.4,8016.6,8016.4,8016.6
65,R65,9133.6,9133.8,9133.8,9133.8,4331,9133.8,9133.6,9134.0,9134.0,9134.0
66,R66,9325.4,9325.4,9325.0,9325.2,9325.0,9325.2,9325.0,9325.2,9325.4,3374
67,R67,8001.0,8001.2,8001.2,8001.0,8001.2,8001.0,8000.8,8001.2,9995,8000.8
68,R68,9647.8,9647.8,9648.0,9647.8,9648.0,9647.8,9647.8,1760,9648.0,9647.8
69,R69,9008.4,9008.4,9008.2,4959,9008.2,9008.2,9008.0,9008.4,9008.2,9008.4
70,R70,8100.0,8100.0,8100.2,8100.0,8099.8,9500,8100.2,8100.2,8100.0,8100.0
71,R71,9268.8,9268.4,9268.6,9268.6,9268.4,3657,9268.4,9268.4,9268.6,9268.8
72,R72,8994.6,8994.8,8995.0,5026,8994.8,8994.8,8994.8,8994.8,8994.6,8995.0
73,R73,8053.4,8053.6,8053.6,8053.2,8053.6,8053.2,8053.2,8053.4,9733,8053.6
74,R74,8434.0,8433.6,8433.6,8433.6,8434.0,8433.6,8433.6,8434.0,7831,8433.6
75,R75,9935.0,9935.2,9935.4,9935.2,9935.4,9935.4,324,9935.0,9935.4,9935.0
76,R76,9671.0,9670.6,9670.8,9670.8,1646,9671.0,9670.6,9671.0,9671.0,9670.8
77,R77,9582.6,2088,9582.6,9582.4,9582.2,9582.6,9582.4,9582.2,9582.2,9582.4
78,R78,9038.6,9038.6,9038.2,9038.4,9038.2,9038.6,9038.4,9038.4,4808,9038.2
79,R79,9677.6,9677.6,9677.8,9677.6,9677.8,9677.6,9677.8,9677.6,9677.6,1612
80,R80,8428.6,8428.4,8428.4,8428.6,8428.4,8428.2,8428.6,8428.6,7858,8428.2
81,R81,8720.2,8720.4,8720.4,8720.4,8720.6,8720.2,6398,8720.2,8720.2,8720.4
82,R82,9657.8,9657.8,9657.4,9657.8,9657.6,9657.4,1712,9657.6,9657.4,9657.4
83,R83,9253.0,9253.2,9253.2,9253.2,9253.0,9253.4,9253.0,9253.2,9253.2,3734
84,R84,9574.8,9574.4,9574.8,9574.4,9574.8,9574.6,9574.4,2127,9574.8,9574.8
85,R85,9164.4,9164.8,9164.8,9164.6,4177,9164.6,9164.6,9164.6,9164.8,9164.6
86,R86,8872.6,8872.2,8872.4,8872.6,8872.2,8872.4,8872.6,5638,8872.6,8872.6
87,R87,9627.2,9627.4,9627.6,9627.2,9627.2,9627.6,9627.2,9627.2,9627.6,1863
88,R88,9412.2,9412.6,9412.6,9412.6,9412.6,9412.2,9412.6,9412.2,2938,9412.6
89,R89,7252,8549.6,8549.6,8549.8,8549.6,8549.4,8549.4,8549.4,8549.6,8549.4
90,R90,9436.6,9437.0,9437.0,9436.6,9437.0,9437.0,2816,9436.6,9436.8,9436.8
91,R91,8881.2,8881.2,5595,8881.2,8880.8,8881.0,8881.0,8880.8,8881.2,8881.2
92,R92,6790,8641.8,8642.0,8642.2,8641.8,8641.8,8641.8,8642.0,8642.2,8642.2
93,R93,9088.6,9088.6,9088.6,9088.6,4558,9088.2,9088.4,9088.4,9088.2,9088.2
94,R94,7659,8468.4,8468.0,8468.0,8468.0,8468.4,8468.4,8468.4,8468.2,8468.4
95,R95,8988.8,8989.2,5055,8989.0,8989.0,8988.8,8989.2,8989.0,8989.0,8989.2
96,R96,8868.2,5659,8868.4,8868.2,8868.0,8868.2,8868.2,8868.0,8868.0,8868.0
97,R97,3404,9319.0,9319.4,9319.4,9319.4,9319.2,9319.2,9319.2,9319.4,9319.4
98,R98,8350.4,8350.6,8350.2,8350.6,8350.6,8350.6,8350.4,8248,8350.6,8350.6
99,R99,9526.0,9526.2,9526.0,9526.2,2370,9525.8,9526.2,9525.8,9526.2,9526.0
100,R100,9947.2,265,9946.8,9947.0,9947.0,9947.2,9947.2,9947.0,9946.8,9946.8
101,R101,8065.2,8065.4,8065.0,9674,8065.4,8065.4,8065.0,8065.0,8065.4,8065.0
102,R102,9791.8,9791.8,9791.8,9791.6,9791.6,9791.6,1041,9791.6,9792.0,9791.8
103,R103,9395.8,9395.8,9395.8,9395.8,9395.4,9395.6,3022,9395.8,9395.8,9395.6
104,R104,9816.6,9816.6,9816.4,9816.2,9816.6,9816.4,918,9816.4,9816.2,9816.2
105,R105,9793.2,9793.0,9793.0,9793.2,9793.2,9793.0,9792.8,9793.2,9793.2,1035
106,R106,9772.8,9773.2,9772.8,9773.0,9773.0,9773.2,9773.0,1135,9773.2,9772.8
107,R107,8760.0,8760.2,8760.2,8759.8,8759.8,8759.8,8760.0,8759.8,8759.8,6200
108,R108,8930.0,8930.2,8930.0,8930.0,8930.4,8930.2,5349,8930.2,8930.4,8930.0
109,R109,8573.6,8573.8,7131,8573.8,8573.6,8573.8,8573.8,8573.8,8573.8,8573.8
110,R110,9371.2,9371.0,9370.8,9371.2,9371.0,3145,9370.8,9371.2,9371.0,9370.8
111,R111,8559.0,8559.0,8558.6,8559.0,8558.6,8558.6,7206,8559.0,8558.6,8559.0
112,R112,8093.4,8093.4,8093.4,8093.0,8093.2,9534,8093.2,8093.2,8093.4,8093.4
113,R113,9670.2,9669.8,9670.2,9670.0,9670.2,1650,9669.8,9669.8,9669.8,9669.8
114,R114,9651.8,9651.8,1742,9651.4,9651.4,9651.6,9651.8,9651.4,9651.6,9651.8
115,R115,9881.8,591,9882.0,9882.0,9882.0,9881.8,9881.8,9881.8,9881.8,9882.0
116,R116,8934.8,8934.8,8934.8,8935.0,8934.6,5326,8934.6,8934.8,8934.8,8934.8
117,R117,9097.4,9097.6,9097.6,9097.8,4512,9097.8,9097.8,9097.4,9097.4,9097.6
118,R118,9832.0,9831.8,9831.8,840,9831.8,9832.2,9832.0,9832.2,9832.2,9832.0
119,R119,8872.8,8873.2,8872.8,8873.0,8873.0,8873.2,8873.0,8872.8,8872.8,5635
120,R120,8211.8,8211.4,8942,8211.4,8211.6,8211.8,8211.6,8211.4,8211.8,8211.6
121,R121,8366.4,8366.4,8366.2,8366.6,8168,8366.2,8366.2,8366.4,8366.4,8366.4
122,R122,9947.2,9947.6,9947.2,9947.6,9947.4,9947.4,9947.4,9947.6,263,9947.4
123,R123,9379.6,9379.6,9379.6,9379.4,9379.6,9379.4,9379.6,9379.8,9379.4,3102
124,R124,8734.6,8734.4,8734.8,8734.4,8734.8,6327,8734.8,8734.8,8734.8,8734.8
125,R125,8620.4,8620.4,8620.4,8620.0,8620.2,8620.0,8620.2,8620.4,8620.2,6899
126,R126,9788.4,9788.0,9788.2,9788.2,9788.0,1059,9788.2,9788.4,9788.2,9788.0
127,R127,8353.6,8353.2,8353.2,8233,8353.4,8353.6,8353.2,8353.4,8353.6,8353.4
128,R128,8173.4,8173.0,9134,8173.2,8173.4,8173.2,8173.0,8173.4,8173.2,8173.4
129,R129,1666,9666.6,9666.6,9667.0,9666.8,9666.6,9667.0,9666.8,9666.8,9667.0
130,R130,9081.0,9081.0,9080.6,9080.6,9080.6,9080.8,9080.6,9080.8,9081.0,4596
131,R131,9068.0,9067.6,9068.0,9067.6,9067.8,9067.8,9068.0,9068.0,9067.6,4661
132,R132,8921.0,8921.0,8920.6,5396,8920.6,8921.0,8920.8,8921.0,8921.0,8920.6
133,R133,8958.4,8958.8,8958.6,8958.6,5207,8958.6,8958.6,8958.4,8958.6,8958.6
134,R134,9793.6,1032,9793.6,9793.6,9793.8,9793.6,9793.4,9793.8,9793.8,9793.6
135,R135,8564.4,8564.6,7178,8564.6,8564.4,8564.2,8564.2,8564.6,8564.2,8564.6
136,R136,9780.8,9780.6,1097,9780.8,9780.6,9780.4,9780.8,9780.4,9780.4,9780.4
137,R137,8018.4,8018.2,8018.4,8018.2,9909,8018.0,8018.2,8018.0,8018.0,8018.0
138,R138,9117.8,4412,9117.6,9117.6,9117.6,9117.4,9117.6,9117.4,9117.4,9117.8
139,R139,9877,8024.4,8024.6,8024.6,8024.6,8024.6,8024.4,8024.8,8024.6,8024.4
140,R140,8011.4,8011.8,8011.6,8011.6,8011.4,8011.6,8011.4,9942,8011.8,8011.8
141,R141,8112.6,8112.4,8112.4,8112.8,9437,8112.4,8112.8,8112.4,8112.6,8112.4
142,R142,9956.6,9956.2,218,9956.6,9956.2,9956.2,9956.4,9956.6,9956.2,9956.4
143,R143,9818.8,9819.2,9819.0,9819.2,9819.0,9818.8,9819.2,905,9819.0,9818.8
144,R144,9028.2,9028.2,9028.0,9028.4,9028.4,4859,9028.2,9028.4,9028.0,9028.2
145,R145,8328,8334.6,8334.2,8334.6,8334.6,8334.6,8334.6,8334.6,8334.2,8334.2
146,R146,9870.0,650,9869.8,9869.8,9870.0,9869.8,9870.2,9870.2,9869.8,9869.8
147,R147,9741.0,9741.0,9740.8,9740.6,9740.8,9740.6,9740.8,1296,9741.0,9740.6
148,R148,9101.4,9101.2,4494,9101.4,9101.2,9101.2,9101.0,9101.2,9101.2,9101.0
149,R149,8980.4,8980.8,5097,8980.6,8980.8,8980.4,8980.6,8980.4,8980.6,8980.6
150,R150,7844,8431.2,8431.4,8431.4,8431.4,8431.2,8431.0,8431.2,8431.4,8431.4
151,R151,9561.4,9561.4,2194,9561.2,9561.0,9561.4,9561.4,9561.4,9561.0,9561.0
152,R152,9418.8,9418.6,9418.6,9418.6,9418.4,2907,9418.6,9418.8,9418.6,9418.4
153,R153,9866.4,9866.4,9866.4,668,9866.4,9866.2,9866.6,9866.2,9866.6,9866.6
154,R154,9130,8174.2,8174.2,8173.8,8174.0,8174.0,8174.2,8174.2,8174.2,8174.0
155,R155,8727.4,8727.4,8727.4,8727.0,8727.0,8727.0,8727.0,8727.0,6364,8727.2
156,R156,9062.0,9062.2,9062.0,4690,9062.0,9062.0,9061.8,9062.0,9061.8,9061.8
157,R157,4806,9038.6,9038.6,9038.6,9038.8,9038.8,9039.0,9038.8,9039.0,9038.6
158,R158,8349.6,8349.4,8253,8349.2,8349.4,8349.4,8349.4,8349.2,8349.6,8349.6
159,R159,8201.6,8201.4,8201.6,8201.2,8201.2,8201.2,8201.6,8201.4,8201.4,8993
160,R160,3514,9297.0,9297.0,9297.0,9297.2,9297.2,9297.0,9297.2,9297.4,9297.4
161,R161,8918.0,8917.6,8917.8,8917.8,8917.6,8918.0,5411,8917.8,8918.0,8918.0
162,R162,8691.2,8691.4,8691.4,8691.2,8691.2,8691.4,8691.2,8691.6,8691.6,6543
163,R163,8412.6,8412.6,8412.4,8412.4,8412.4,7937,8412.8,8412.6,8412.6,8412.4
164,R164,9703.2,9702.8,9703.2,1485,9703.0,9703.0,9703.2,9702.8,9703.2,9703.2
165,R165,5181,8964.0,8964.0,8963.6,8963.8,8963.8,8964.0,8963.6,8964.0,8964.0
166,R166,8616.6,8616.8,8617.0,8616.8,6916,8616.8,8616.6,8616.6,8617.0,8616.8
167,R167,9064,8187.2,8187.0,8187.4,8187.2,8187.4,8187.2,8187.0,8187.0,8187.2
168,R168,8859.4,8859.0,8859.4,8859.0,8859.4,8859.4,8859.0,8859.0,5704,8859.4
169,R169,1362,9727.6,9727.4,9727.8,9727.6,9727.8,9727.6,9727.6,9727.4,9727.8
170,R170,8882.0,8882.0,8882.4,5589,8882.2,8882.0,8882.4,8882.4,8882.2,8882.0
171,R171,8379.2,8379.4,8103,8379.2,8379.4,8379.4,8379.6,8379.2,8379.2,8379.6
172,R172,9289.4,9289.8,9289.6,9289.4,3552,9289.4,9289.4,9289.6,9289.6,9289.8
173,R173,9788.0,9787.6,9787.8,9788.0,9788.0,9788.0,9787.8,9788.0,9787.8,1061
174,R174,9544.4,9544.6,9544.6,9544.4,9544.4,9544.6,9544.6,2277,9544.8,9544.8
175,R175,9603.6,1983,9603.4,9603.4,9603.6,9603.6,9603.6,9603.2,9603.4,9603.4
176,R176,9176.0,4121,9175.6,9175.6,9176.0,9175.6,9176.0,9176.0,9175.6,9176.0
177,R177,9237.4,3814,9237.4,9237.2,9237.4,9237.0,9237.2,9237.4,9237.4,9237.2
178,R178,8161.4,8161.8,9192,8161.4,8161.6,8161.4,8161.8,8161.6,8161.6,8161.8
179,R179,9701.4,9701.4,9701.8,9701.4,9701.4,9701.6,9701.6,9701.8,9701.8,1492
180,R180,9752,8049.4,8049.8,8049.6,8049.6,8049.6,8049.4,8049.4,8049.6,8049.4
181,R181,9103.8,9103.6,9103.6,9103.8,9103.4,9103.6,4482,9103.4,9103.8,9103.6
182,R182,8398.0,8397.6,8397.6,8397.6,8397.8,8398.0,8011,8398.0,8398.0,8398.0
183,R183,9335.8,9335.8,9335.8,9335.8,3320,9336.2,9336.0,9336.0,9336.0,9336.2
184,R184,8916.6,8916.6,8916.6,8916.4,8916.6,5417,8916.6,8916.6,8916.4,8916.4
185,R185,9869.0,9868.8,9868.8,656,9869.0,9868.8,9868.6,9868.6,9868.8,9868.6
186,R186,9366.2,9365.8,3170,9366.2,9365.8,9366.0,9365.8,9365.8,9366.2,9366.0
187,R187,8342.4,8342.8,8342.6,8342.6,8342.8,8342.4,8287,8342.4,8342.4,8342.8
188,R188,8729.4,6352,8729.6,8729.8,8729.8,8729.8,8729.4,8729.4,8729.4,8729.8
189,R189,9427.0,9427.0,9427.0,2864,9427.2,9427.2,9427.2,9427.4,9427.2,9427.4
190,R190,8326.8,8326.4,8326.4,8367,8326.4,8326.6,8326.8,8326.6,8326.6,8326.6
191,R191,9605.2,9605.2,9605.6,9605.2,9605.6,1973,9605.6,9605.4,9605.6,9605.2
192,R192,8288.2,8288.2,8288.0,8287.8,8287.8,8287.8,8560,8287.8,8288.0,8287.8
193,R193,9034.2,9034.6,9034.6,9034.2,9034.4,9034.2,9034.2,4828,9034.2,9034.6
194,R194,8717,8256.4,8256.4,8256.6,8256.6,8256.4,8256.4,8256.4,8256.6,8256.4
195,R195,8995.0,8995.0,8995.0,8994.8,8995.0,5025,8995.0,8994.8,8995.2,8994.8
196,R196,9938.4,9938.6,9938.2,9938.2,9938.2,308,9938.4,9938.6,9938.4,9938.6
197,R197,8711.4,6442,8711.6,8711.6,8711.8,8711.4,8711.6,8711.4,8711.6,8711.4
198,R198,9099.8,9100.0,9100.2,9100.0,9099.8,9099.8,4500,9100.0,9100.0,9100.0
199,R199,8277.8,8611,8277.6,8277.8,8277.6,8277.6,8277.6,8278.0,8277.8,8277.6
200,R200,8024.0,9881,8024.0,8023.6,8023.8,8023.8,8023.8,8023.6,8023.6,8024.0
201,R201,8888.4,8888.4,8888.4,8888.6,8888.6,8888.4,5558,8888.2,8888.2,8888.4
202,R202,9516.4,9516.2,9516.2,9516.2,9516.0,9516.0,9516.2,9516.0,9516.2,2419
203,R203,8531.2,8531.6,8531.4,8531.4,8531.4,8531.6,8531.6,7343,8531.2,8531.6
204,R204,2909,9418.2,9418.0,9418.0,9418.4,9418.4,9418.4,9418.4,9418.0,9418.4
205,R205,9247.4,9247.8,9247.8,9247.8,9247.6,9247.4,9247.4,9247.6,3762,9247.8
206,R206,9202.4,9202.4,9202.4,9202.2,9202.4,9202.2,9202.4,9202.2,3989,9202.4
207,R207,9547.8,9547.8,9548.0,9547.6,9547.6,9547.6,9547.6,9548.0,9547.8,2261
208,R208,9828.4,9828.2,9828.4,9828.2,9828.2,9828.0,9828.4,9828.2,859,9828.2
209,R209,8099.2,8098.8,9505,8099.0,8099.2,8099.0,8099.2,8098.8,8099.0,8099.0
210,R210,9169.6,9169.2,9169.4,9169.4,9169.4,9169.2,4153,9169.6,9169.6,9169.4
211,R211,9333.2,9332.8,9333.0,9332.8,3335,9333.0,9332.8,9333.0,9333.0,9332.8
212,R212,8391.0,8046,8390.6,8390.8,8390.8,8391.0,8390.8,8390.6,8390.8,8390.6
213,R213,9206.2,9206.4,3969,9206.4,9206.4,9206.2,9206.2,9206.4,9206.4,9206.4
214,R214,9930.6,9930.6,9930.4,9930.8,9930.8,9930.8,347,9930.4,9930.4,9930.8
215,R215,9218.8,3905,9218.8,9219.2,9219.2,9218.8,9219.0,9218.8,9218.8,9218.8
216,R216,9873.4,9873.4,9873.8,9873.4,9873.6,9873.4,9873.4,632,9873.6,9873.4
217,R217,8420.4,8420.4,8420.2,8420.2,8420.6,8420.2,8420.4,8420.2,8420.2,7898
218,R218,9742,8051.8,8051.8,8051.4,8051.4,8051.8,8051.6,8051.8,8051.8,8051.4
219,R219,5405,8919.2,8919.2,8918.8,8919.0,8918.8,8919.0,8919.0,8919.2,8918.8
220,R220,9415.2,9414.8,9415.0,9415.0,9415.2,9415.0,9414.8,9415.2,9414.8,2925
221,R221,8364.6,8364.6,8365.0,8364.6,8364.8,8365.0,8176,8364.6,8364.8,8365.0
222,R222,5160,8968.0,8968.2,8967.8,8968.0,8967.8,8967.8,8968.2,8967.8,8968.2
223,R223,8818.8,8819.2,8818.8,8819.0,8818.8,8818.8,8818.8,5905,8818.8,8818.8
224,R224,9279.6,9279.6,9279.8,9279.8,9279.6,9279.6,9279.4,3602,9279.4,9279.4
225,R225,8412.6,8412.2,8412.6,8412.2,8412.2,8412.6,8412.4,8412.2,8412.2,7938
226,R226,9369.4,9369.4,9369.4,9369.8,9369.4,9369.6,9369.6,3152,9369.6,9369.4
227,R227,9453.8,9453.4,9453.4,9453.8,9453.4,2732,9453.8,9453.4,9453.4,9453.6
228,R228,8581.0,8580.8,8580.8,7095,8581.0,8581.0,8581.0,8581.0,8581.2,8581.2
229,R229,8994.6,8994.8,8994.6,8994.6,8994.8,8994.4,8994.6,8994.8,5027,8994.4
230,R230,9874.8,9874.4,9874.6,9874.4,9874.4,9874.8,627,9874.6,9874.6,9874.4
231,R231,9331.2,9331.2,9331.0,9331.2,3344,9331.4,9331.4,9331.2,9331.4,9331.4
232,R232,9091.4,9091.0,9091.4,9091.4,9091.0,9091.0,9091.0,9091.4,4544,9091.2
233,R233,8748.6,8748.6,8748.2,8748.6,8748.4,6258,8748.6,8748.6,8748.2,8748.6
234,R234,8479.2,7604,8479.0,8479.0,8479.4,8479.0,8479.0,8479.2,8479.0,8479.4
235,R235,8638.0,6809,8638.0,8638.4,8638.4,8638.2,8638.4,8638.4,8638.0,8638.2
236,R236,8322.8,8322.6,8322.6,8387,8322.6,8322.4,8322.4,8322.4,8322.4,8322.8
237,R237,8285.6,8285.8,8285.8,8285.8,8285.4,8285.6,8285.6,8285.8,8285.4,8572
238,R238,8421.4,8421.0,8421.2,8421.2,8421.0,8421.2,8421.4,7894,8421.4,8421.4
239,R239,9885.6,9885.6,9885.6,572,9885.4,9885.4,9885.8,9885.6,9885.6,9885.8
240,R240,9295.0,9294.6,9294.8,9294.8,3526,9294.8,9295.0,9294.6,9294.8,9294.6
241,R241,9084.0,9084.2,9084.4,9084.2,9084.4,9084.0,9084.0,4579,9084.0,9084.4
242,R242,9814.6,9815.0,9814.6,9814.6,9815.0,926,9815.0,9815.0,9814.6,9815.0
243,R243,8765.2,8765.0,8765.0,8765.4,6174,8765.4,8765.4,8765.4,8765.0,8765.0
244,R244,9930.6,9930.2,9930.6,348,9930.2,9930.4,9930.4,9930.2,9930.4,9930.4
245,R245,8033.8,8033.6,8033.6,8033.4,8033.6,8033.4,8033.4,8033.4,8033.8,9832
246,R246,9296.6,9296.2,9296.6,9296.6,9296.2,9296.2,9296.2,9296.6,3518,9296.2
247,R247,8638.2,8638.2,8638.2,6810,8637.8,8637.8,8637.8,8638.0,8638.2,8638.2
248,R248,8313.6,8313.6,8433,8313.6,8313.6,8313.2,8313.6,8313.6,8313.2,8313.4
249,R249,9692.0,9691.8,9692.0,9691.8,9692.0,9691.8,1541,9691.8,9692.0,9691.8
250,R250,9807.2,9807.2,9807.0,9807.2,9807.0,9807.2,9807.2,9807.2,9807.2,965
251,R251,8804.4,8804.8,8804.8,5977,8804.6,8804.6,8804.6,8804.4,8804.6,8804.4
252,R252,8619.2,6905,8619.0,8619.2,8619.2,8618.8,8618.8,8619.2,8619.2,8618.8
253,R253,1647,9670.8,9670.6,9670.8,9670.6,9670.6,9670.4,9670.6,9670.4,9670.6
254,R254,3960,9207.8,9208.2,9208.0,9208.2,9208.0,9208.2,9207.8,9208.0,9208.2
255,R255,8035.6,9821,8035.8,8036.0,8035.8,8035.6,8036.0,8035.8,8035.6,8036.0
256,R256,8966.4,8966.8,8966.4,5167,8966.6,8966.8,8966.4,8966.6,8966.6,8966.6
257,R257,8438,8312.6,8312.4,8312.6,8312.2,8312.6,8312.6,8312.6,8312.6,8312.4
258,R258,9791.4,9791.8,1042,9791.4,9791.4,9791.8,9791.8,9791.8,9791.6,9791.8
259,R259,8630.0,8630.2,8630.0,8630.0,8630.0,6850,8629.8,8630.2,8630.2,8630.2
260,R260,9947.6,9947.4,9947.6,9947.6,9947.4,9947.4,9947.4,262,9947.4,9947.6
261,R261,9266.8,9266.6,3666,9266.6,9266.8,9266.6,9266.6,9267.0,9266.6,9266.8
262,R262,9890.0,9890.4,9890.4,9890.2,9890.4,9890.4,9890.4,9890.4,549,9890.2
