id,label,attr_0,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6
322,R322,8484,9059,5403,4504,8252,2894,2171
323,R323,3383,8855,9416,6907,7305,1368,3861
324,R324,856,514,7999,5094,220,6725,1621
325,R325,2614,8443,3507,9725,5103,7938,8819
326,R326,3799,1814,1407,6190,6678,46,7777
327,R327,8979,850,8984,3794,4489,5286,4892
328,R328,8061,8631,9020,4675,9536,3467,8018
329,R329,7046,3830,7491,3253,2097,750,4417
330,R330,6961,916,6405,7145,7716,281,5017
331,R331,8158,6288,4251,953,1148,9866,4521
332,R332,289,7924,3455,5316,8446,3767,5173
333,R333,9485,8469,7769,7165,1171,1749,822
334,R334,7944,1807,3872,5110,8672,7038,2056
335,R335,2383,6325,9709,2289,6046,2815,4009
336,R336,6095,8919,6973,8564,524,2491,1722
337,R337,4901,7941,2676,9315,8922,4016,20
338,R338,5877,3131,2564,8551,8740,2007,1001
339,R339,3636,4941,9584,5711,6671,5395,7465
340,R340,9959,4820,7396,8616,6749,4625,32
341,R341,2261,3177,3807,1269,7338,3962,1496
342,R342,1225,1507,4835,5823,4634,6092,3041
343,R343,462,6936,2234,4224,2987,4486,7352
344,R344,6536,2809,1245,2055,4658,6879,7057
345,R345,3936,1753,3976,1366,1478,3941,4682
346,R346,9676,4861,1629,8921,4900,1836,3103
347,R347,8510,8997,273,9960,3328,5101,908
348,R348,9538,2204,8285,7350,5157,1559,4047
349,R349,7980,5814,5366,7831,9654,5189,4340
350,R350,4678,8404,5056,9208,3944,3300,8848
351,R351,8676,3204,2217,6318,4746,7022,8580
352,R352,7666,1839,7455,9998,8366,1383,2655
353,R353,3861,5108,4447,3073,6165,8158,3199
354,R354,334,8985,6505,3724,6712,4624,9492
355,R355,4071,3698,157,8225,6391,6453,3430
356,R356,4231,2208,3810,1705,2981,2296,86
357,R357,7611,2212,5686,258,4072,2303,4082
358,R358,9613,269,7358,2598,8357,3090,1016
359,R359,6043,4763,8147,6869,511,6606,3773
360,R360,388,8754,3262,4869,6416,6414,1613
361,R361,8938,7180,392,4764,4816,8599,6329
362,R362,7180,905,6530,142,2882,2621,6494
363,R363,9199,5446,1143,5776,6872,623,7194
364,R364,1482,7791,1756,2460,2169,5241,4841
365,R365,8471,4666,4553,3675,2999,8618,1097
366,R366,8165,2829,8217,364,9965,6967,5952
367,R367,8014,3729,6639,5654,6405,9850,6220
368,R368,8504,5917,8074,7550,822,9756,2368
369,R369,6100,2651,7420,8504,3754,842,5792
370,R370,8585,6970,7827,8552,1169,2489,7147
371,R371,3210,6785,8306,6327,9605,2298,6300
372,R372,2961,6067,5061,5738,1564,8063,3648
373,R373,3343,7691,631,1272,9125,9091,150
374,R374,3253,9285,825,4468,2235,2424,8806
375,R375,192,8642,1393,2682,967,1515,9240
376,R376,4155,2226,6989,7650,5349,6341,9991
377,R377,4230,5096,8542,6291,6941,1593,1789
378,R378,5263,1176,3225,5020,5457,9116,5394
379,R379,6828,8953,8771,3209,8168,7268,1169
380,R380,4656,6547,1632,299,508,6084,8341
381,R381,8712,4286,3289,2020,8388,5723,9702
382,R382,3135,2737,7242,5284,7077,8096,4583
383,R383,2851,4628,3333,718,4396,8032,608
384,R384,1396,8977,9224,6250,8902,8012,5407
385,R385,3955,8043,2010,4335,1437,2976,2387
386,R386,2382,1607,3825,1373,493,26,813
387,R387,6194,9295,9352,6304,3455,2771,8609
388,R388,7768,2424,6054,1541,9854,8258,8728
389,R389,2447,4889,6713,3481,1235,5785,9283
390,R390,676,1252,7572,3613,5367,4,7882
391,R391,7284,4224,7696,105,9184,1513,9083
392,R392,401,1047,7850,5636,1854,609,2079
393,R393,9330,5473,2732,100,7999,9946,9927
394,R394,2944,2986,1312,104,7062,2967,5515
395,R395,2245,263,1955,9092,1708,6891,5247
396,R396,4554,2770,2808,6268,7599,4757,2372
397,R397,727,9659,3357,4387,2084,8184,6063
398,R398,8587,9598,6768,6618,1010,2800,5369
399,R399,3308,844,6209,4604,4688,3522,3440
400,R400,3104,8998,7233,8970,4051,3355,6977
401,R401,4184,1056,4129,3358,2723,8179,9151
402,R402,3974,4034,6788,1229,2909,8038,901
403,R403,5081,8338,8152,9007,957,3765,4524
404,R404,5597,6170,7976,8906,5742,9315,9197
405,R405,7739,1348,883,2220,2695,8932,5359
406,R406,306,1468,4955,7544,7713,2584,605
407,R407,2965,918,7228,6703,1339,4635,9321
408,R408,1393,582,9455,5938,6226,7965,442
409,R409,4081,5728,1575,4273,8104,3029,7924
410,R410,6193,5028,2784,8735,223,904,4670
411,R411,5060,4988,3670,2102,3862,7909,8533
412,R412,3887,1921,4025,1235,4406,303,4879
413,R413,5327,5498,689,2218,6225,5872,1215
414,R414,6556,7427,3878,5055,7595,7215,7838
415,R415,3817,786,629,8435,7741,5183,4627
416,R416,8173,7713,7231,6801,5639,4946,5462
417,R417,6099,8405,8622,6407,66,5580,9071
418,R418,4,8692,7167,6344,1028,4420,7487
419,R419,416,9691,2132,2274,9629,5308,105
420,R420,5509,5648,1698,6847,4506,9366,6385
421,R421,7014,3302,7187,5245,4285,2005,482
422,R422,1274,3272,4865,5518,5955,2101,497
423,R423,4981,763,9945,9387,2474,616,5933
424,R424,9536,9750,5065,9449,767,7984,3759
425,R425,1998,7916,2299,2934,444,5435,4934
426,R426,5081,9711,2054,688,4661,3462,2141
427,R427,2106,6387,8044,9730,4318,589,7526
428,R428,822,6715,882,5794,5634,9749,8449
429,R429,3383,748,4903,1983,5849,9348,5376
430,R430,8549,3892,8373,8990,6172,8192,9809
431,R431,851,1219,6181,9373,9685,5162,4700
432,R432,243,1334,891,6067,2820,9092,1260
433,R433,5048,8423,693,5643,1807,9225,2441
434,R434,8839,8433,7508,627,4792,9828,4560
435,R435,7198,4921,8658,5983,4501,382,7089
436,R436,2750,1763,8120,4277,3869,2703,302
437,R437,3887,3147,8930,2169,8163,8311,9244
438,R438,7173,8922,7158,867,6054,8574,6851
439,R439,3223,7057,755,6103,5011,5441,9022
440,R440,7830,7289,6174,9588,9155,1279,377
441,R441,414,2536,6157,2418,1432,5749,8335
442,R442,4254,2797,4186,9972,7380,7550,8957
443,R443,9308,707,9949,7836,3804,427,160
444,R444,1334,9071,3206,5834,2786,869,1039
445,R445,7409,2203,3357,5447,3549,1033,8876
446,R446,7634,6032,7717,7177,5404,9962,5596
447,R447,3040,6986,6055,4943,9672,4084,9364
448,R448,1315,2085,2177,9751,9785,440,1041
449,R449,2103,2320,5465,5166,1236,8727,3029
450,R450,9332,9122,9444,1849,6963,3270,8130
451,R451,9202,704,8195,4969,4020,9176,3354
452,R452,4243,8533,2615,2645,2264,8516,6471
453,R453,9871,9559,9286,8537,1222,5292,4908
454,R454,7167,3965,1662,6512,6076,4105,2814
455,R455,6432,9587,8409,5155,7308,3497,5410
456,R456,143,5820,4644,3338,4918,4806,8455
457,R457,7482,7137,4648,4005,2218,1638,4171
458,R458,5798,9395,1861,6849,3226,1424,9797
459,R459,1610,3121,986,2726,6574,5274,7994
460,R460,5201,5357,6887,5205,4436,7565,4236
461,R461,3736,6936,3639,9952,6903,6260,5902
462,R462,9012,2772,670,1548,5201,8057,8753
463,R463,7009,8461,1587,8445,4115,2548,9148
464,R464,8096,3766,7122,9880,9705,7032,3415
465,R465,1224,2371,48,1041,9609,454,9917
466,R466,2354,6834,370,3886,8097,9304,5223
467,R467,3428,5890,9418,3173,3037,1786,8359
468,R468,962,3204,3660,4611,6529,850,1245
469,R469,6794,4474,9209,1916,6497,308,7910
470,R470,1682,4511,3765,8951,9868,4564,9365
471,R471,1807,236,5062,9047,6474,2309,5313
472,R472,4770,4320,9954,5865,6121,894,9070
473,R473,5233,5871,8725,8485,5359,6060,9099
474,R474,7940,1036,4591,2708,8302,3728,5710
475,R475,2160,4708,2370,5930,7980,2709,3565
476,R476,5720,3593,5143,2176,3076,9167,4537
477,R477,7158,9951,5409,4583,2841,6516,767
478,R478,7778,1786,8758,3381,9461,1883,8303
479,R479,4174,535,1579,8867,3576,3757,403
480,R480,2780,3274,5231,6311,2972,2571,6667
481,R481,6949,8280,5577,4299,1053,5328,9120
482,R482,8701,2970,4749,1951,8413,1978,4427
483,R483,9677,6440,2889,6496,4836,3880,3448
484,R484,7393,3033,9838,4062,9828,3296,4117
485,R485,6932,1133,3146,2586,1729,3128,7805
486,R486,9123,95,8216,7242,189,2040,5442
487,R487,5127,3200,8756,5220,7112,2589,7176
488,R488,4074,8227,3424,3055,4596,7988,9172
489,R489,5155,962,2108,5743,5377,6894,5999
490,R490,5496,6130,1581,3594,6847,346,18
491,R491,290,4325,6524,2347,2593,2388,4814
492,R492,5475,9460,5747,5443,5557,4743,7566
493,R493,207,1083,9195,1460,1015,3341,3470
494,R494,9398,9475,2472,8535,4801,4413,6331
495,R495,3215,1696,7399,1896,2436,3147,5692
496,R496,1929,554,4396,3827,908,5475,5556
497,R497,7380,7699,2808,6949,8624,9505,4929
498,R498,2643,9721,6918,1718,6647,1063,1983
499,R499,6514,1189,9801,7514,2732,3004,20
500,R500,570,3040,1307,3604,9713,2298,5316
501,R501,1469,3835,9545,5238,4540,3481,7272
502,R502,9772,2808,2561,6320,1091,3753,1553
503,R503,3270,1821,509,842,5035,1610,4491
504,R504,1476,8404,515,4257,9297,4255,2026
505,R505,3876,9728,5164,7368,5008,8763,4401
506,R506,5243,3525,9379,6925,7415,2013,8624
507,R507,1005,4138,6382,9939,5131,2846,9521
508,R508,6478,5881,1188,127,2301,2495,3206
509,R509,3249,5602,1190,4665,9752,4241,1207
510,R510,9056,4842,3456,8079,262,7335,6104
511,R511,5337,7637,4972,2185,2192,7652,6705
512,R512,2732,115,4611,3444,7802,5007,2967
513,R513,5364,1022,7360,8896,1135,8678,8115
514,R514,1725,5921,6702,5300,2581,9048,2885
515,R515,4792,9824,1064,9366,8264,5497,4486
516,R516,581,8063,3737,2598,7392,778,9404
517,R517,337,2391,9689,8571,2794,6900,688
518,R518,8693,296,9962,7556,7731,3500,2954
519,R519,781,4344,2340,3710,5046,9262,3997
520,R520,5822,4101,4825,5609,5331,8855,2226
521,R521,7348,9687,8570,433,8912,3892,1390
522,R522,1692,8901,1832,1471,8264,3108,3674
523,R523,21,4224,1308,768,3783,1227,4393
524,R524,7165,161,560,622,4393,873,4739
525,R525,4571,7791,6330,6134,181,8019,1225
526,R526,5716,7221,2514,7322,3181,1706,6115
527,R527,4316,3785,2216,7051,4052,1755,3432
528,R528,7154,2671,2906,3643,6070,3516,7446
529,R529,6538,8391,9091,7488,8258,5645,7022
530,R530,9874,2824,9512,4379,3517,2824,9645
531,R531,3496,3642,4527,9076,4754,2991,2401
532,R532,5994,9807,4531,9246,7765,1367,7060
533,R533,3631,5643,6006,3325,1714,8673,5132
534,R534,1359,155,7685,2540,481,7575,6613
535,R535,5273,1598,6959,3486,9125,7435,832
536,R536,3751,2514,7247,4613,5950,3216,9934
537,R537,2366,3124,7861,54,1704,4640,4660
538,R538,1007,3345,4649,8577,1348,4964,4702
539,R539,1279,7498,1151,4437,7668,2045,7035
540,R540,5651,748,9638,9276,5411,4317,1247
541,R541,6196,4135,2443,4100,3884,8240,9618
542,R542,6778,3612,7490,4404,9387,4848,3795
543,R543,4378,103,2632,5786,8240,5050,8520
544,R544,3621,1957,283,6849,8590,5594,5879
545,R545,2168,4031,4038,2467,7179,418,7617
546,R546,275,9877,2520,6874,168,5337,5799
547,R547,5968,9612,2124,7580,5652,8348,5956
548,R548,3304,9151,5853,346,6926,2665,4706
549,R549,3558,3243,4087,7934,7100,8921,2900
550,R550,6592,4969,4791,2010,1844,6689,9007
