id,label,attr_0,attr_1,attr_2,attr_3,attr_4
109,R109,312,489,3867,680,3444
110,R110,9237,6246,3954,6496,262
111,R111,1536,1411,335,3653,1487
112,R112,9135,2349,7837,8316,778
113,R113,1737,1898,564,5264,9869
114,R114,1103,5075,4426,6013,2622
115,R115,8775,285,7205,3664,1281
116,R116,2006,5759,1126,8040,1755
117,R117,2214,8360,8687,9956,2187
118,R118,7664,8034,4989,9758,841
119,R119,2578,3744,1149,2439,135
120,R120,8156,6610,1118,5665,4235
121,R121,509,7704,5760,1701,4226
122,R122,4181,7856,2561,488,4144
123,R123,4464,574,5092,7071,1852
124,R124,1885,6142,1040,5947,9345
125,R125,2946,5833,6219,9921,7343
126,R126,7179,4,1731,3652,3914
127,R127,545,2533,3293,5072,708
128,R128,754,3710,2378,5378,7264
129,R129,2823,7229,7689,873,2421
130,R130,6544,9410,6451,7583,4622
131,R131,8965,3756,6526,9011,5563
132,R132,9615,7019,1662,8248,3542
133,R133,9112,3367,2340,6856,5924
134,R134,5153,6933,4331,9998,3773
135,R135,2058,5021,6011,8411,6082
136,R136,9269,6292,9524,6098,6987
137,R137,3174,6102,4100,7136,241
138,R138,5497,7821,1411,8706,6337
139,R139,2988,975,2063,393,8143
140,R140,4035,2116,2914,7200,7874
141,R141,6415,1069,8520,1754,6275
142,R142,5064,1829,1439,4104,3279
143,R143,5578,9768,5975,30,9960
144,R144,5467,6038,8090,9157,4610
145,R145,4520,2562,3013,4292,1974
146,R146,8298,715,7597,9560,8480
147,R147,7128,37,9305,8287,8151
148,R148,4270,1326,8456,5056,2914
149,R149,9371,8632,2795,1735,179
150,R150,8547,4623,3589,8535,8181
151,R151,7243,9854,3189,5730,1839
152,R152,1527,5067,5084,7795,9853
153,R153,4837,9700,1633,4239,1489
154,R154,6831,4375,9195,4939,1304
155,R155,2932,9835,8325,6261,6867
156,R156,3972,5576,9119,2545,9935
157,R157,2099,1173,890,5506,9024
158,R158,5784,2181,8205,6144,1931
159,R159,1888,2408,3475,4955,8591
160,R160,2458,3747,1501,6939,5991
161,R161,7723,3427,6975,3806,5389
162,R162,353,762,4374,759,3259
163,R163,1326,5335,9468,6643,6976
164,R164,3046,178,2535,7335,2706
165,R165,8718,6128,8191,2923,7246
166,R166,2197,1678,2616,9031,1076
167,R167,3754,169,1510,5684,246
168,R168,5538,9484,6858,7023,5337
169,R169,6781,2262,1626,1806,124
170,R170,1178,5102,4422,6119,3036
171,R171,3166,2168,5586,8275,1013
172,R172,1197,1669,8822,7772,1553
173,R173,4994,1832,5715,3771,5645
174,R174,3822,1857,7980,6295,5568
175,R175,6980,9781,2072,371,6963
176,R176,2749,1619,5579,4605,7162
177,R177,3907,9,6907,2507,9462
178,R178,1715,4137,661,8583,8002
179,R179,2215,9535,5532,6776,138
180,R180,8437,7978,2038,6581,6603
181,R181,315,9260,5602,6409,1160
182,R182,7386,9803,9420,7066,1127
183,R183,5474,5348,2709,8336,5688
184,R184,5044,7608,7853,3839,3535
185,R185,6759,2648,4430,3504,3839
186,R186,3501,6064,157,7810,4603
187,R187,3065,9028,4200,9934,2241
188,R188,2538,1999,1284,4174,2805
189,R189,8217,6827,1655,1928,9137
190,R190,3097,643,8001,370,6180
191,R191,1253,5854,9506,5296,9800
192,R192,1170,5832,1203,897,5715
193,R193,3187,9351,4150,9429,5985
194,R194,9115,5053,5436,2506,1733
195,R195,6173,1862,6191,9009,1868
196,R196,2499,3397,6587,8688,3645
197,R197,3748,8794,2482,5654,2234
198,R198,5308,667,3578,527,5164
199,R199,3080,8821,4909,1592,88
200,R200,140,1472,9867,8631,3277
201,R201,3320,3486,2691,8710,4397
202,R202,5693,5970,5149,9992,5655
203,R203,4653,2407,3161,2339,4814
204,R204,1375,1403,2604,7427,2402
205,R205,5126,8139,2178,8136,9512
206,R206,2084,9990,9353,5700,4267
207,R207,1983,4713,8543,3844,874
208,R208,175,9473,5352,8613,4667
209,R209,9187,1798,9815,4781,3733
210,R210,5758,6039,8221,7205,9863
211,R211,7282,6494,1795,4465,2946
212,R212,1106,7660,8256,19,7891
213,R213,5208,4790,4556,6186,9464
214,R214,503,2963,4560,9708,3637
215,R215,8961,6633,3527,189,9166
216,R216,169,2949,7716,6281,4956
217,R217,6499,8121,9274,1565,4795
218,R218,2042,5332,9195,6300,2128
219,R219,2335,3155,7838,6403,2402
220,R220,745,3834,2031,4212,4325
221,R221,7590,8146,8113,9361,5100
222,R222,7441,9539,882,298,9325
223,R223,7655,6603,6938,180,6358
224,R224,5075,5435,1190,6805,1954
225,R225,6664,5841,8651,9887,6817
226,R226,5082,6157,995,9511,5845
227,R227,6228,6568,8366,7483,2414
228,R228,1986,9523,9820,241,228
229,R229,9853,5894,1004,4552,1221
230,R230,1294,6811,5225,3474,8199
231,R231,6722,9162,6598,7604,7026
232,R232,9384,8076,7187,3260,24
233,R233,2617,6595,2465,9558,301
234,R234,3374,1495,7971,2746,6016
235,R235,9131,2156,1057,6567,7113
236,R236,3656,570,2503,2333,9070
237,R237,7812,3608,5755,4466,4163
238,R238,6119,7919,2732,6230,6675
239,R239,5564,5546,2938,9046,4953
240,R240,1803,9450,4779,4302,5362
241,R241,7897,3287,2773,1266,4656
242,R242,3372,3042,2212,4163,4758
243,R243,5827,4105,5648,442,7058
244,R244,7305,1178,8804,7193,1339
245,R245,5331,499,9481,1476,1491
246,R246,8420,5471,8404,6371,4132
247,R247,3244,5376,1038,8872,4194
248,R248,3049,9405,6039,7303,6984
249,R249,6320,4435,5430,6309,2220
250,R250,7722,8488,7620,9853,2824
251,R251,1116,9643,9867,4053,8513
252,R252,8626,7512,2024,2713,7891
253,R253,5806,5997,3987,8770,2689
254,R254,8323,673,167,4661,395
255,R255,31,7397,6813,3112,6078
256,R256,2205,3262,8502,8332,8933
257,R257,1390,7674,5088,123,2110
258,R258,8579,9868,6801,9707,8835
259,R259,6502,8998,63,7292,5024
260,R260,4385,9459,3767,9646,4828
261,R261,9203,5432,4465,7880,1155
262,R262,4681,3077,7120,4723,8437
263,R263,2242,904,8208,7816,9851
264,R264,4062,5185,663,9638,4320
265,R265,2494,7498,2547,6434,7365
266,R266,2425,440,5082,3322,8220
267,R267,4560,3035,6524,2233,4542
268,R268,9390,1476,5925,7564,4997
269,R269,4748,1463,1628,9941,3761
270,R270,1826,7469,382,8219,9316
271,R271,2362,6798,4004,9162,625
272,R272,6989,4982,9268,8055,7828
273,R273,8929,663,3955,8334,3332
274,R274,6709,5724,6108,2186,3591
275,R275,5128,2901,6760,4983,9268
276,R276,3034,3426,5824,4755,1914
277,R277,5191,3867,5565,3300,6039
278,R278,7756,5071,1266,9992,8407
279,R279,5887,9993,4950,503,8662
280,R280,7047,7796,1274,2178,3228
281,R281,7907,5112,6589,4023,3131
282,R282,1157,1468,6295,4444,2952
283,R283,5408,7131,4538,267,7980
284,R284,7048,3348,7782,446,9567
285,R285,3325,9785,6027,9936,2112
286,R286,8742,5979,5751,5556,8707
287,R287,3838,7339,6822,4113,6984
288,R288,2584,113,3291,575,7985
289,R289,1858,9991,4809,3479,3026
290,R290,4293,8976,3020,3100,8142
291,R291,7200,2754,3705,8292,8781
292,R292,8119,4700,6102,550,4028
293,R293,759,2630,1604,496,3073
294,R294,2014,1439,5995,2865,2530
295,R295,9074,575,9424,3236,7632
296,R296,9381,1837,6759,1134,3048
297,R297,7969,343,9063,9226,8738
298,R298,4885,4727,2438,5852,8296
299,R299,5291,8100,9607,3996,761
300,R300,953,3968,9029,3090,8927
301,R301,1982,668,1419,9370,3722
302,R302,5248,3602,7343,7313,7920
303,R303,8347,3499,218,953,9264
304,R304,3933,6382,8431,7030,7005
305,R305,6321,4041,7861,1452,7351
306,R306,271,4122,1781,3554,328
307,R307,5694,8034,8474,6769,9413
308,R308,7651,5790,3459,4620,9903
309,R309,4233,3186,2074,1301,3182
310,R310,9631,8821,3093,2984,1750
311,R311,997,6627,7748,6573,5444
312,R312,3769,3523,6146,5135,3654
313,R313,9483,8290,2636,9882,8858
314,R314,7171,256,2431,7111,3674
315,R315,401,5021,6020,4897,1765
316,R316,7291,6550,3915,4648,9471
317,R317,3143,5744,9769,7637,7362
318,R318,8737,2536,2385,604,7597
319,R319,9467,7397,2862,2226,4797
320,R320,1003,1896,2952,8855,4417
321,R321,5942,1679,8458,4578,5459
322,R322,9522,9894,8464,3034,2638
323,R323,2330,6300,6645,7642,3006
324,R324,6602,6176,5907,2830,314
325,R325,1589,104,9464,2166,9314
326,R326,9036,1986,8820,8737,968
327,R327,1436,606,2741,6056,5535
328,R328,7169,9928,5482,1282,2829
329,R329,6657,821,747,171,6938
330,R330,7746,290,4766,2483,3765
331,R331,1358,9882,2633,1840,5487
332,R332,5094,1605,9235,2928,5198
333,R333,5529,9050,6198,8188,5164
334,R334,3759,6554,8082,3679,1148
335,R335,3616,3074,4475,1843,3648
336,R336,220,2932,8623,6189,6290
337,R337,4597,3434,976,8334,19
338,R338,5195,7975,5673,9478,7263
339,R339,7737,8267,4096,8721,863
340,R340,6039,9301,5115,5386,6224
341,R341,1779,8495,3384,2930,3699
342,R342,7692,5036,1116,3878,7228
343,R343,8471,1364,9454,4426,1101
344,R344,6148,8381,404,5651,7685
345,R345,7729,5158,9490,8519,9366
346,R346,9620,3256,3867,7827,3135
347,R347,3457,6056,6631,8879,2592
348,R348,1236,3752,3620,8983,1670
349,R349,3068,8342,2917,7594,9046
350,R350,6426,9804,288,7381,9374
351,R351,5419,9474,4165,8398,6119
352,R352,1353,7944,3264,7352,8791
353,R353,2623,8508,7326,6408,6569
354,R354,2038,1214,2382,73,7511
355,R355,2480,6986,5246,2069,4882
356,R356,7785,1218,3948,6873,9909
357,R357,9965,5806,7686,635,6680
358,R358,9401,4149,2643,1928,9597
359,R359,2747,8885,972,5760,6542
360,R360,7726,2953,5765,2495,3839
361,R361,6796,4145,3757,7240,3793
362,R362,944,8710,4765,356,3071
363,R363,8157,3971,1812,3365,4064
364,R364,80,2948,7799,7637,9248
365,R365,8742,9883,6488,6053,7873
366,R366,8425,565,7616,7874,4894
367,R367,2309,4589,158,1179,4110
368,R368,8192,6685,4375,1725,3075
369,R369,4172,7546,8925,6571,8226
370,R370,4854,891,8932,4965,7279
371,R371,3067,3948,2480,446,2852
372,R372,4608,792,4465,9618,2473
373,R373,5407,7450,4903,5945,8311
374,R374,3053,8831,5600,5619,1799
375,R375,6390,4377,6281,7698,8211
376,R376,6276,4972,2267,80,5768
377,R377,3621,6486,3899,9227,8689
378,R378,1455,1283,9964,6501,2689
379,R379,6828,1308,9658,8415,2179
380,R380,5202,5322,1542,7639,7508
381,R381,6192,459,3114,8709,1471
382,R382,8930,9130,2534,2176,5601
383,R383,6621,2269,9374,4164,7076
384,R384,6283,9896,6550,1982,15
385,R385,3196,2446,7632,6857,507
386,R386,2524,1983,5152,1863,1138
387,R387,1429,493,3171,4343,3070
388,R388,6895,4438,2020,8272,1451
389,R389,7520,2900,2094,7070,8960
390,R390,8189,119,4326,2645,2245
391,R391,4281,6978,1244,5782,4530
392,R392,9488,1211,5543,6276,9943
393,R393,6930,1343,4764,4172,6423
394,R394,7720,8040,3869,3208,1481
395,R395,5723,6918,8367,2457,5990
396,R396,4856,4192,6481,5324,8148
397,R397,100,7940,646,3655,4054
398,R398,3847,6734,2821,7357,4104
399,R399,6839,606,6915,7751,1980
400,R400,4942,3034,1828,6519,6363
401,R401,6822,1706,9846,638,9973
402,R402,4193,1027,3599,7706,3877
403,R403,7678,7461,237,4805,7635
404,R404,4654,9035,6689,7698,139
405,R405,9655,681,1771,5211,8479
406,R406,7723,476,6545,2440,9983
407,R407,4290,2894,2603,3942,7307
408,R408,5520,4257,4903,9063,8475
409,R409,4365,4934,2360,5016,4037
410,R410,8664,388,9586,4959,2341
411,R411,4420,7162,6626,9851,5565
412,R412,5117,6315,9362,893,2411
413,R413,7879,1610,811,1139,5821
414,R414,9354,6845,3421,6139,8200
415,R415,9454,7168,3670,3187,9670
416,R416,7993,3141,7726,4833,8537
417,R417,1323,7608,8172,9548,3627
418,R418,9214,9422,4486,4216,9478
419,R419,7766,1551,7384,9309,1926
420,R420,339,5379,296,5037,8082
421,R421,2656,8149,356,790,1770
422,R422,3513,6862,2818,8983,8029
423,R423,3769,6814,4842,4637,1297
424,R424,5902,5221,7581,6542,8686
425,R425,7859,8636,6268,4378,1681
426,R426,8221,2149,5874,9258,9771
427,R427,6779,9866,7879,7953,3994
428,R428,9349,9913,8329,588,169
429,R429,5178,3940,5330,2837,8173
430,R430,8609,5980,8100,2313,7179
431,R431,9612,3550,3512,9392,9624
432,R432,9172,2459,8070,487,5818
433,R433,5977,4226,5712,6079,8310
434,R434,4917,2088,3461,2709,4726
435,R435,8921,6862,3684,4720,9879
436,R436,4633,9743,3515,8396,530
437,R437,1540,7389,9260,9202,4919
438,R438,7185,2042,9718,1045,9915
439,R439,2245,4527,8160,4806,3094
440,R440,9594,8644,8438,8982,6342
441,R441,9824,8354,7835,311,8101
442,R442,1473,6894,6523,2424,7435
443,R443,6133,2106,3428,603,5796
444,R444,7047,2992,1858,7249,8591
445,R445,1108,8861,7408,5712,8829
446,R446,692,5898,5674,7908,9692
447,R447,530,3590,3525,4209,9908
448,R448,253,8454,1976,8663,9168
449,R449,5561,4652,7320,9556,2165
450,R450,252,4506,1652,9047,8533
451,R451,1929,5510,5150,1031,8161
452,R452,1669,677,539,249,1015
453,R453,488,8787,303,6568,9051
454,R454,373,2525,9622,9797,7883
455,R455,3828,1998,9257,5619,553
456,R456,9838,777,9800,1134,7350
457,R457,9989,2324,959,6398,7201
458,R458,4836,4989,6173,9093,3874
459,R459,9329,8353,9740,5610,7040
460,R460,4586,338,1074,9290,254
461,R461,6929,7520,5607,4298,4976
462,R462,3766,8472,6656,9830,3141
463,R463,9356,7819,1593,8639,9590
464,R464,8221,125,8357,431,2121
465,R465,2970,3326,7232,956,5973
466,R466,4564,7281,5950,4782,1585
467,R467,4128,6083,9935,5057,5119
468,R468,2314,8421,5180,92,7258
469,R469,3049,219,2995,9685,1744
470,R470,942,6079,1000,6455,2844
471,R471,3362,7980,858,131,7194
472,R472,3129,3939,673,7902,236
473,R473,5769,5887,2802,8159,9786
474,R474,2259,4373,8994,41,8621
475,R475,3747,3677,3331,5920,5978
476,R476,3339,2521,6591,8296,7524
477,R477,3535,3830,433,5152,914
478,R478,6204,4181,5729,9306,7006
479,R479,2739,735,1122,5123,257
480,R480,6363,5682,7284,1623,1263
481,R481,1288,8687,2072,7382,6925
482,R482,8830,3167,9378,5896,4576
483,R483,8464,7939,8280,9227,3593
484,R484,4765,4940,388,1387,5172
485,R485,2189,6302,3395,1840,2367
486,R486,5273,1442,9137,9918,2591
487,R487,4416,8661,6490,6357,1143
488,R488,7102,5259,8747,5035,1701
489,R489,7326,3872,6948,3100,7821
490,R490,2898,8208,1821,6086,3455
491,R491,9805,7488,6270,9961,1896
492,R492,3119,4513,1354,8768,4156
493,R493,4394,1883,9429,7156,8535
494,R494,4912,932,4538,1639,7368
495,R495,7593,8851,5100,5550,3036
496,R496,6375,7813,9094,9832,1426
497,R497,9860,7339,1726,8247,7879
498,R498,4046,1136,5584,6050,8405
499,R499,6613,8212,7280,1382,159
500,R500,5818,7882,8891,4762,7626
501,R501,7734,9704,7809,7642,9468
502,R502,8942,1005,5551,4859,9321
503,R503,3979,7355,3179,6071,7227
504,R504,5797,8544,8076,8011,5935
505,R505,2843,8915,9607,8508,6146
506,R506,2064,897,2068,6561,4842
507,R507,7342,7518,5880,3715,6295
508,R508,568,4038,6744,5758,6526
509,R509,3602,4173,9966,2561,8493
510,R510,2167,5302,7356,3670,2184
511,R511,7400,2672,1563,5828,5179
512,R512,3208,4832,3856,6523,2144
513,R513,6514,8496,8492,5513,5549
514,R514,9276,7994,1641,5496,171
515,R515,2655,293,6872,3808,4619
516,R516,7661,9313,8149,3161,5078
517,R517,8266,6727,9582,7290,8184
518,R518,7594,5572,8133,5351,7316
519,R519,5508,9478,1,1702,6688
520,R520,3719,8730,5023,8783,9132
521,R521,1086,5794,8936,8710,5381
522,R522,3654,6091,697,5726,1488
523,R523,2512,2458,3569,3553,1378
524,R524,6274,4802,1296,2339,8706
525,R525,43,2406,6315,8118,4551
526,R526,3850,4341,9798,1260,2972
527,R527,2958,7397,1947,9581,7436
528,R528,8725,9226,7823,8009,2371
529,R529,5623,906,1058,4534,3163
530,R530,9562,7328,1667,3748,9818
531,R531,6375,4332,5409,5452,325
532,R532,1470,3892,6958,4917,3930
533,R533,784,8256,6170,1086,4553
534,R534,8469,1361,9053,1629,3969
535,R535,5519,2312,321,4612,6602
536,R536,8549,5099,4743,2871,9004
537,R537,9442,8736,7282,6831,1003
538,R538,1813,6051,2409,4835,4355
539,R539,7051,5399,7216,3414,7952
540,R540,9370,9922,6386,839,6644
541,R541,5515,8673,9145,3137,1508
542,R542,4736,3036,5162,6219,2747
543,R543,7599,4452,5383,89,2558
544,R544,7936,5313,6738,9773,9961
545,R545,5853,9837,8869,4987,5752
546,R546,8000,7356,6126,7355,6775
547,R547,1310,3376,3676,8502,2021
548,R548,8110,4332,9261,481,2970
549,R549,8964,5485,8428,1626,7337
550,R550,1359,5708,5113,8029,1387
551,R551,3379,5855,1453,7953,1609
552,R552,7932,6271,8776,8425,8570
553,R553,4395,9252,5801,9501,7425
554,R554,1555,5401,1602,8213,856
555,R555,1126,6639,6290,8980,8444
556,R556,6536,5379,1346,3093,242
557,R557,7943,5229,2656,4764,4016
558,R558,5249,5457,6559,736,134
559,R559,6965,1303,3683,7447,3139
560,R560,28,5265,5050,5105,1630
561,R561,2463,7030,4003,5280,6505
562,R562,712,6554,2516,9550,7312
563,R563,98,3380,6435,6496,1839
564,R564,1592,9901,6815,5138,1826
565,R565,8994,5140,3565,7762,5418
566,R566,4792,658,2030,6756,3607
567,R567,3527,5733,5498,6158,7130
568,R568,974,4468,56,3875,9130
569,R569,4732,5863,1274,8863,1100
570,R570,2228,4685,9092,3386,9616
571,R571,876,1966,8397,1707,8991
572,R572,3353,2137,7660,9781,8183
573,R573,5466,1281,5184,9811,3772
574,R574,8985,1678,6050,8840,6178
575,R575,5256,193,3962,6899,5849
576,R576,653,198,4879,5516,4256
577,R577,5829,480,3812,5645,8433
578,R578,5139,8570,3174,1293,2654
579,R579,5946,2458,4294,1024,408
580,R580,8234,5460,9323,7968,9325
581,R581,5392,9734,412,5649,7475
582,R582,9616,8170,8720,1318,1461
583,R583,4092,113,6781,8338,4347
584,R584,8284,3186,1158,7811,5045
585,R585,9395,3022,7899,4041,1884
586,R586,6839,4303,5985,6921,256
587,R587,1987,4794,6768,1507,7912
588,R588,8517,540,9573,598,1594
589,R589,8109,9477,2105,7074,8125
590,R590,9957,2890,5013,8747,7228
591,R591,3130,7910,2372,4184,5449
592,R592,3913,6268,1916,844,2359
593,R593,1187,5071,9453,9846,2115
594,R594,6687,8613,9459,6217,9725
595,R595,1487,9634,5625,1963,5931
596,R596,7188,3614,7630,6861,7315
597,R597,5187,4560,7946,5428,5778
598,R598,4641,889,5494,3493,947
599,R599,8972,2164,3071,7501,9731
600,R600,3519,1607,546,6167,2318
601,R601,3713,2872,8530,8724,7358
602,R602,3402,2145,399,8902,5232
603,R603,7167,9869,6481,8192,6010
604,R604,7080,3878,7417,207,6595
605,R605,1378,2039,3682,8664,8234
606,R606,5106,5243,799,5459,9657
607,R607,9173,1335,8007,8175,7106
608,R608,5193,7392,4236,2085,1019
609,R609,6102,2243,3410,4142,5460
610,R610,1220,1585,2445,2627,8127
611,R611,8504,5036,612,8670,5107
612,R612,6583,9235,7105,4192,6571
613,R613,8600,2712,4701,1786,5848
614,R614,7234,3399,8242,9313,1421
615,R615,5769,1322,1563,3580,8473
616,R616,6075,4590,1583,9699,8476
617,R617,8499,6847,3120,5550,3676
618,R618,1071,3831,6590,6799,6013
619,R619,191,8168,8605,164,7483
620,R620,714,5998,8874,7701,275
621,R621,8715,6802,4901,2758,3367
622,R622,5613,3771,8794,5536,3890
623,R623,1981,5716,5695,8493,5916
624,R624,8371,7483,8147,9977,6532
625,R625,5057,6336,9651,9700,8405
626,R626,8879,9424,4674,9494,5079
627,R627,1585,9535,5015,7744,3508
628,R628,2811,5507,339,6732,1886
629,R629,2372,1395,7634,5672,8323
630,R630,9077,1021,750,4761,1506
631,R631,7786,2054,3558,6771,8937
632,R632,9173,1747,8253,6074,6705
633,R633,2449,456,7181,4819,6330
634,R634,3662,3422,9247,5173,7459
635,R635,2412,6137,5043,3493,224
636,R636,7855,7065,5479,4361,5014
637,R637,1712,2399,2423,9637,8515
638,R638,8576,4151,446,3091,5030
639,R639,1204,7816,7994,4194,2092
640,R640,3224,1578,1731,92,416
641,R641,6110,4291,3049,926,9638
642,R642,5257,4228,6876,3271,68
643,R643,4251,1024,8712,5504,8456
644,R644,8053,8300,692,9785,4040
645,R645,3017,7508,6273,9795,5056
646,R646,7419,9754,9599,2341,2872
647,R647,2361,8131,6257,5100,2099
648,R648,1609,9591,168,7590,5455
649,R649,3046,8774,9845,4922,3687
650,R650,1730,8359,7757,3566,9880
651,R651,1869,229,879,1116,4034
652,R652,501,2436,1325,1143,4942
653,R653,3721,7435,8447,6704,9202
654,R654,374,7927,1108,1861,8423
655,R655,5469,7443,348,934,7171
656,R656,3472,6640,4759,7926,8151
657,R657,140,4159,6442,5083,4128
658,R658,2416,7295,5167,4178,5937
659,R659,9894,356,4911,1653,2299
660,R660,3218,5531,2637,2819,9986
661,R661,7426,460,5798,3094,431
662,R662,1864,8643,690,3917,6048
663,R663,1207,6564,5546,1356,1843
664,R664,6437,9981,3306,9420,1860
665,R665,715,387,7984,8764,2726
666,R666,8957,8859,7603,4447,163
667,R667,4147,8022,9362,65,1266
668,R668,8152,1484,7955,5852,2066
669,R669,2750,7599,9017,6745,4801
670,R670,9779,2876,7636,9297,2903
671,R671,7419,4986,5373,6455,3386
672,R672,1050,9177,6383,1687,207
673,R673,4649,938,3931,5907,5584
674,R674,276,873,9744,9354,4651
675,R675,9449,158,6342,4534,3133
676,R676,2270,1787,9042,8352,1783
677,R677,5397,9262,4931,9078,387
678,R678,1123,5818,6115,7471,232
679,R679,8707,3446,5256,2433,9743
680,R680,534,8,7648,3005,7906
681,R681,4617,6188,7266,6212,5102
682,R682,1314,6280,9966,8552,5027
683,R683,7641,7890,6241,2182,9396
684,R684,6876,8835,3060,8137,4278
685,R685,61,3424,4786,743,6176
686,R686,9534,2528,5203,5996,3972
687,R687,2656,1433,8960,3671,8550
688,R688,6261,1023,9614,421,2659
689,R689,2290,1945,1496,3313,3906
690,R690,8090,6905,1108,6069,697
691,R691,6739,3846,2059,7570,5973
692,R692,4942,9397,7809,7407,7823
693,R693,2175,7757,967,936,2889
694,R694,201,4956,4722,7202,2977
695,R695,1352,8677,9049,2797,2372
696,R696,1217,7551,3832,7103,1902
697,R697,917,8565,9472,4320,8601
698,R698,8977,365,6294,848,1046
699,R699,1659,8410,3784,43,1626
700,R700,4104,5957,2422,3611,554
701,R701,1720,8019,6845,1897,1354
702,R702,951,4449,968,2318,6256
703,R703,5937,5290,803,847,8974
704,R704,2400,8493,32,6497,2420
705,R705,9501,5336,5904,7677,1737
706,R706,2724,8364,7839,1973,394
707,R707,6103,2117,806,674,74
708,R708,273,8986,6363,1750,4572
709,R709,4368,7504,6475,1102,4485
710,R710,530,7646,3198,5666,8391
711,R711,7627,6686,4305,7931,1849
712,R712,3873,2447,8116,6815,7094
713,R713,171,6340,3009,7442,7115
714,R714,4501,8644,2092,5460,1072
